NameCorp,AfterEmerging,Assets1Before,Assets2Before,Assets3Before,AssetsBefore,AssetsCurrDollar,AssetsEmerging,AssetsPetCurrDollar,AssetsPetition,BondISIN,BondPriceDisp,BondPriceFile,BondPriceMoveDuring,CaseNum,CaseNumRefile,CaseNumTransfer,CeoFiling,CeoNotes,CeoReplaced,CikBefore,CikEmerging,CityChange,CityDisposed,CityFiledCategory,Chapter,CityFiled,CityRefile,ClaimsAgent,ClaimsAgentFirm,ClaimsSecDiscloState,ClaimsUnsec,CommCred,CommCredAtty,CommCredAttyCol,CommCredAttySubstit,CommEquity,CommEquityAtty,CommEquityAttyCol,CommEquityAttySubstit,CommRetirees,CommRetireesName,CommRetireesRequest,CommonName,CPIndexAtConf,CPIndexAtFiling,Cusip6,Cusip9,Date10k1Before,Date10k2Before,Date10k3Before,Date10kBefore,Date10kBeforeLink,Date10kDuring,Date10kDuringLink,Date10kEmerging,Date10kEmergLink,Date10kSalesEmerge,Date363Sale,DateCeoBegin,DateCeoEnd,DateCommCred,DateCommCredBy,DateConfirmed,DateConvDismiss,DateDipLoan1FinOrd,DateDiscloState,DateDisposed,DateEffective,DateEmerging,DateFeeRev,DateFiled,DateJudgeAppt,DateRefile,DateTransferred,DateTurnEngage,DaysDocsAfter,DaysEmergeToRefile,DaysFiledTo363,DaysIn,DENYOther,DipAtty,DipAttyColDoc,DipAttyColDkt,DipFinAdvPetition,DipLoan,DipLoan1Lender,DipLoan1Total,DipLoan2Lender,DipLoan2Total,DipLoanAdditional,DipLoanDoc,Disposition,DistFiled,DistribComments,DistribEquity,DistribSecDiscloState,DistribUnsec,DistribUnsecPct,DktNumConf,DktOnPacer,DocsOnPacer,DocsPublic,EbitBefore,EbitCurrDollars,EbitdaBefore,EbitdaEmerging,EbitEmerging,Emerge,Emerg10k,EmplBefore,EmplEmerging,EmplUnionBefore,EmplUnionEmerging,Examiner,ExaminerName,ExaminerRequest,FeeReviewer,FilingRate,FirmEnd,FreshStartAccounting,GdpDisp,GdpFiling,GdpRefiling,GdpYear1AftDisp,GdpYear1BefFile,GdpYear2AftDisp,GdpYear2BefFile,GvkeyBefore,GvkeyEmerging,HeadCAtFiling,HeadCityPctPop,HeadCityPop,HeadCourtCity,HeadCourtCityToDE,HeadStAtFiling,HqToForum,HqToHqCtCity,IncomeBEBefore,IncomeBEEmerging,IncPublic,InterCompanyClaims,InterCompanyDistrib,InterCompanyPct,JudgeApptDist,JudgeDisposition,JudgeFiling,Liab1Before,Liab2Before,Liab3Before,LiabBefore,LiabCurrDollar,LiabEmerging,LiabPetCurrDollar,LiabPetition,MonthDisp,MonthFiled,MonthRefile,MonthsIn,Multiple363Sales,NameEmerging,NetIncomeBefore,NetIncomeEmerging,NumberFiling,Prepackaged,PrimaryKey,Prime1YearAftDisp,Prime1YearBefFile,Prime2YearAftDisp,Prime2YearBefFile,PrimeDisp,PrimeFiling,PrimeRefiling,ProfFees10k,ProfFees10kNotes,Refile,Refile5,Refile5RepRange,RelatedFilings,Sale,Sale363,SaleConf,SaleIntended,Sales1Before,Sales2Before,Sales3Before,SalesBefore,SalesCurrDollar,SalesEmerging,Shop,SICDescription,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,SubCon,TortCause,TransferCity,TransferDist,Transferred,Trustee,TrusteeFor,TrusteeName,TrusteeRequest,TrusteeRequestor,TurnFirm,TurnOffice,TurnPerson,TurnRepRange,TurnType,UsPopFiling,Voluntary,YearConfirmed,YearDisposed,YearEmerged,YearFiled,YearsEmergeToRefile
1st Centennial Bancorp,,,690,,690,963,,,,,,,,09-15570,,,"Beth Sanders, CFO",Chapter 7 at filing,NoReplace,0001097081,,,,Other,7,Riverside,,,,,,Chapter 7 at filing,,,,Chapter 7 at filing,,,,,,,,,212.7,31986N,102,,12/31/2007,,12/31/2007,10/31/2007,,,,,,,1/28/2009,3/25/2009,,,,,,,,,,,3/25/2009,,,,,,,,,OT,Reid Hellyer,Reid & Hellyer,,,Chapter 7 at filing,,,,,,not applicable,Chapter 7 at filing,CA CD,,,,,,,yes,yes,yes,10.117,14.117,10.865,,,no,no,148,,1,,,,,pending,91,,,,93.439,,,96.610,,95.232,065467,,Redlands,0.02%,"69,969",CA Riverside,2333,CA,14,16,5.443,,CA,,,,,Chapter 7 at filing,Sheri Bluebond,,637,,637,889,,,,,3,,,,Chapter 7 at filing,5.443,,,not applicable,693,,5.25,,8.25,,3.25,,,,,not emerged 5,no,,Chapter 7 at filing,Chapter 7 at filing,,yes,,53,,53,"74,495,070",,No,State Commercial Banks,"H: Finance, Insurance, And Real Estate",602 Commercial Banks,60 Depository Institutions,6022,,Not tort,,,Chapter 7 at filing,,,,,,,,,,,"306,770,000",voluntary,,,,2009,
"21st Century Oncology Holdings, Inc.",,,"1,128",,"1,128","1,368",,,,,,,,17-22770,,,Paul Rundell,Interim CEO,Replaced,0001503518,,,White Plains,White Plains,11,White Plains,,yes,Kurtzman Carson Consultants LLC,,,yes,Morrison Foerster,Morrison & Foerster LLP,,no,,,,no,,,,247.9,244.7,90131G,107,,12/31/2015,,12/31/2015,12/31/2015,,,,,,,3/1/2017,1/16/2018,6/15/2017,,1/11/2018,,6/20/2017,10/13/2017,1/11/2018,1/16/2018,1/11/2018,,5/25/2017,5/24/2002,,,,,,,231,OT,Kirkland Ellis,Kirkland & Ellis LLP / Kirkland & Ellis International LLP,,,yes,"Wilmington Savings Fund Society, FSB; Morgan Stanley Senior Funding, Inc.",75,,,,yes,confirmed,NY SD,,,,,,915,yes,yes,yes,55.415,67.204,144.455,,,yes,no,"3,930",,448,,no,,no,pending,30,,,113.432,110.614,,115.882,108.396,116.832,106.933,265008,,Fort Myers,0.02%,"79,941",FL Fort Myers,974,FL,1099,1,-134.849,,DE,,,,NY SD,Robert D. Drain,Robert D. Drain,,"1,394",,"1,394","1,691",,,,1,5,,7.7,,"21st Century Oncology Holdings, Inc.",-134.849,,60,prenegotiated,1105,5.50,3.50,4.75,3.25,4.50,4.00,,,,,not emerged 5,no,,yes,no,yes,no,,"1,079",,"1,079","1,308,819,554",,Yes,Offices and Clinics of Doctors of Medicine,I: Services,801 Offices And Clinics Of Doctors Of Medicine,80 Health Services,8011,,Not tort,,,no,,,,,,,,,,,"325,719,178",voluntary,2018,2018,2018,2017,
"A. H. Robins Company, Inc.",Became a unit of American Home Products 12/15/89,648,510,440,648,"1,781",,"1,281",466,,,,,85-01307,,,E. Claiborne Robins Jr.,End day is approximate,NoReplace,,,,Richmond,Richmond,11,Richmond,,,,,,yes,,,,yes,,,,,,,,118.5,108.0,770706,109,12/31/1984,12/31/1983,12/31/1982,12/31/1984,,,,,,,,1/1/1978,12/15/1989,9/4/1985,,7/25/1988,,,,7/25/1988,,7/25/1988,,8/21/1985,7/1/1967,,,,,,,"1,069",OT,Murphy Sheneman,"Murphy, Weir & Butler",,,,,,,,,,confirmed,VA ED,,,,,,,none,none,no,128.092,352.012,143.936,,,yes,no,"6,000",,,,,,,no data,8,merged,,54.738,49.334,,56.877,47.318,57.860,44.263,009183,,Richmond,0.09%,"211,135",VA Richmond,185,VA,1,1,-461.613,,VA,,,,VA ED,Robert R. Merhige,,,154,119,154,423,,,,7,8,,35.6,,A.H. Robins,-461.613,,1,free fall,189,11.00,13.00,10.00,11.00,9.50,9.50,,,,,emerged no refile 5,yes,no,yes,no,yes,,632,,,632,"1,736,512,529",,No,Pharmaceutical Preparations,D: Manufacturing,283 Drugs,28 Chemicals and Allied Products,2834,,Other products,,,removed to District Court,,,,,,,,,,,"237,920,000",voluntary,1988,1988,1988,1985,
A. M. Castle & Co.,,329,,,329,399,332,,,,,,,17-11330,,,Steven W. Scheinkman,,Replaced,0000018172,0000018172,,Wilmington,Wilmington,11,Wilmington,,yes,Kurtzman Carson Consultants LLC,,,no,,,,no,,,,no,,,,245.5,245.0,148411,101,12/31/2016,,,12/31/2016,12/31/2016,,,12/31/2017,12/31/2017,12/31/2018,,4/17/2015,1/7/2020,,,8/2/2017,,7/6/2017,5/15/2017,8/2/2017,8/31/2017,8/2/2017,,6/18/2017,1/7/2015,,,,,,,45,DE,Pachulski Stang,Pachulski Stang Ziehl & Jones LLP,,,yes,"PNC Bank, National Association",85,,,,yes,confirmed,DE,,,,,,244,yes,yes,yes,-30.630,-37.112,-14.252,-10.725,-24.088,yes,yes,908,930,123,132,no,,no,pending,30,,,111.530,110.614,,115.047,108.396,117.700,106.933,002811,002811,Oak Brook,0.00%,"8,108",IL Chicago,653,IL,662,20,-114.090,22.863,MD,,,,DE,Laurie Selber Silverstein,Laurie Selber Silverstein,364,,,364,442,298,,,8,6,,1.5,,A. M. Castle & Co.,-107.982,22.863,5,prepackaged,1108,5.00,3.50,5.25,3.25,4.25,4.25,,,,,not emerged 5,no,,no,no,no,no,533,,,533,"645,985,265",582,Yes,Metals Service Centers and Offices,F: Wholesale Trade,"505 Metals and Minerals, Except Petroleum",50 Wholesale Trade-durable Goods,5051,,Not tort,,,no,,,,,,,,,,,"325,719,178",voluntary,2017,2017,2017,2017,
"A123 Systems, Inc.",assets acquired by Wanxiang America Corporation on 1/29/2013,626,,,626,803,,590,460,,,,,12-12859,,,David P. Vieau,,Replaced,0001167178,,,Wilmington,Wilmington,11,Wilmington,,yes,"Logan & Company, Inc.",,,yes,Brown Rudnick,Brown Rudnick LLP / Saul Ewing LLP,,no,,,,no,,,,232.9,231.3,03739T,108,12/31/2011,,,12/31/2011,12/31/2011,,,,,,12/11/2012,3/15/2002,1/29/2013,11/2/2012,,5/20/2013,,11/26/2012,2/6/2013,5/20/2013,6/28/2013,12/11/2012,,10/16/2012,1/25/2001,,,,,,56,216,DE,Latham Watkins,"Latham & Watkins LLP / Richards, Layton & Finger, P.A.",,,yes,Johnson Controls Inc.,72.5,Wanxiang America Corp.,50,,yes,confirmed,DE,,,,,,1675,yes,yes,yes,-230.534,-295.792,-203.630,,,yes,no,"1,983",,1,,no,,no,pending,24,,,101.295,100.283,,103.778,98.737,106.933,97.256,180636,,Waltham,0.02%,"60,792",MA Boston,296,MA,289,12,-257.730,,DE,,,,DE; PA ED,Kevin J. Carey,Kevin J. Carey,330,,,330,423,,482,376,5,10,,7.2,,A123 Systems LLC,-257.730,,3,free fall,969,3.25,3.25,3.25,3.25,3.25,3.25,,,,,emerged no refile 5,yes,,yes,yes,,"yes, contract",159,,,159,"204,197,496",,Yes,,D: Manufacturing,"369 Miscellaneous Electrical Machinery, Equipment, and Supplies",36 Electronic And Other Electrical Equipment And Components,3690,,Not tort,,,no,,,,,,none,no turnfirm,none,,none,"313,910,000",voluntary,2013,2013,2012,2012,
"AAC Holdings, Inc.",,,452,,452,521,,517,449,,,,,20-11648,,,Andrew W. McWilliams,,Replaced,0001606180,,,Wilmington,Wilmington,11,Wilmington,,yes,"Donlin, Recano & Company, Inc.",,,yes,Cole Schotz,Cole Schotz PC,,no,,,,no,,,,260.4,257.8,000307,108,,12/31/2018,,12/31/2018,12/31/2018,,,,,,,1/24/2020,2/2/2022,7/2/2020,,10/20/2020,,7/15/2020,9/1/2020,10/20/2020,12/11/2020,10/20/2020,,6/20/2020,6/11/2019,,,,,,,122,DE,Greenberg Traurig,"Greenberg Traurig, LLP",,,yes,"Ankura Trust Company, LLC, as administrative agent",62.2,,,,yes,confirmed,DE,,,,,,695,yes,yes,yes,-19.029,-21.908,2.957,,,yes,not as of 5/4/2022,"1,900",,,,,,,pending,56,,,116.429,106.920,,123.085,116.662,,114.223,178698,,Brentwood,0.01%,"42,700",TN Nashville,662,TN,664,10,-59.404,,NV,,,,DE,John T. Dorsey,John T. Dorsey,,410,,410,472,,596,517,10,6,,4.1,,"AAC Holdings, Inc.",-59.404,,49,prenegotiated,1193,3.25,5.50,6.25,5.00,3.25,3.25,,,,,not emerged 5,no,,no,no,no,maybe,,296,,296,"340,506,566",,Yes,"Specialty Outpatient Facilities, Not Elsewhere Classified",I: Services,"809 Miscellaneous Health And Allied Services, Not",80 Health Services,8093,,Not tort,,,no,,,,,,,,,,,"326,569,308",voluntary,2020,2020,2020,2020,
aaiPharma Inc.,Acquired by Xanodyne in 2005 and operated separately,339,,,339,518,,494,323,US00252WAB00,107,46.5,60.5,05-11341,,,Ludo J. Reynders,CEO left office in 2010; became CEO of Premier Research Group on 10/29/2010,Replaced,0001013243,,,Wilmington,Wilmington,11,Wilmington,,yes,Bankruptcy Services LLC,189.111,32.514,yes,Reed Smith,Reed Smith LLP,,denied,,,,no,,,,198.3,194.4,00252W,104,12/31/2004,,,12/31/2004,12/31/2004,,,,,,,9/27/2004,7/1/2010,5/24/2005,,1/20/2006,,6/3/2005,12/1/2005,1/20/2006,3/6/2006,1/20/2006,,5/10/2005,10/28/1993,,,3/19/2004,,,,255,DE,Fried Frank,Fried Frank,,"Rothschild Inc.,",yes,"Bank of America, N.A.; Silver Point Finance, LLC",210,,,,yes,confirmed,DE,,0,149.300,4.014,12.3%,837,yes,yes,yes,-35.869,-54.762,-11.404,,,yes,no,924,,1,,no,,no,no,25,continuing 2012-05-14,,93.787,91.299,,95.232,88.120,96.610,84.540,063604,,Wilmington,0.03%,"91,207",NC Wilmington,403,NC,404,1,-191.171,,DE,no,Insider votes not counted 1129(a)(10),0,DE,Peter J. Walsh,Peter J. Walsh,451,,,451,689,,682,447,1,5,,8.5,,aaiPharma Inc.,-191.171,,,free fall,899,8.25,4.00,7.25,4.25,7.25,6.00,,,No. No 10k for any years,,emerged no refile 5,yes,,no,no,no,no,215,,,215,"328,751,533",,Yes,Testing Laboratories,I: Services,"873 Research, Development, And Testing Services","87 Engineering, Accounting, Research, Management, and Related Services",8734,subcon,Fraud?,,,no,no,,,no,no,FTI Consulting Inc.,Chief Operating Officer,Greg Rayburn,yes,manage (temps),"295,520,000",voluntary,2006,2006,2006,2005,
"ABC-NACO, Inc.","acquired by Three Cities Research, Inc. and Cerebus",474,,,474,792,,640,383,,,,,01-36484,,,Vaugh W. Makary,,Replaced,0000913364,,,Chicago,Other,11,Chicago,,,,,,yes,Jenner Block,"Jenner & Block, LLC",,no,,,,no,,,,,177.7,00287P,105,12/31/2000,,,12/31/2000,12/31/2000,,,,,,12/11/2001,4/3/2001,1/14/2002,10/26/2001,,,4/22/2004,11/6/2001,,4/22/2004,,12/11/2001,,10/18/2001,9/16/1987,,,,,,54,917,OT,D'Ancona Pflaum,D'Ancona & Pflaum LLC,,,yes,,,,,,,dismissed,IL ND,,,,,,,yes,yes,no,-24.781,-41.390,4.819,,,yes,no,"4,418",,"3,402",,no,,no,no,97,,,88.120,81.733,,91.299,81.594,94.017,79.293,029395,,Lombard,0.01%,"42,406",IL Chicago,653,IL,17,21,-60.034,,DE,,,,IL ND,Eugene R. Wedoff,Eugene R. Wedoff,412,,,412,688,,619,371,4,10,,30.6,,Meridian Rail Corp.,-56.201,,8,free fall,371,5.75,9.50,7.75,8.25,4.00,5.50,,,,,emerged no refile 5,yes,,yes,yes,no confirmation,maybe,482,,,482,"805,377,115",,No,,D: Manufacturing,346 Metal Forgings And Stampings,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",3460,,Not tort,,,no,no,,,no,no,,,,,,"284,970,000",voluntary,,2004,2001,2001,
AbitibiBowater Inc.,11/7/2011 name change to Resolute Forest Products,"8,072",,,"8,072","11,237","7,156","13,833","9,937",,,,,09-11296,,,David J. Paterson,,Replaced,0001393066,0001393066,,Wilmington,Wilmington,11,Wilmington,,yes,"Epiq Bankruptcy Solutions, LLC",809.520,"9,017.033",yes,Paul Hastings,"Paul, Hastings, Janofsky & Walker LLP",,denied,,,,no,,,,218.8,213.2,003687,209,12/31/2008,,,12/31/2008,12/31/2008,12/31/2009,12/31/2009,12/31/2010,12/31/2010,12/31/2011,,10/1/2007,1/1/2011,4/28/2009,,11/23/2010,,6/16/2009,8/2/2010,11/23/2010,12/9/2010,11/23/2010,7/14/2009,4/16/2009,1/25/2001,,,5/14/2009,,,,586,DE,Paul Weiss,"Paul, Weiss, Rifkind, Wharton & Garrison LLP / Young Conaway Stargatt & Taylor, LLP",,Blackstone Advisory Services L.P.,yes,"Fairfax Financial Holdings Ltd. and Avenue Investments, L.P., as Initial Lenders, Law Debenture Trust Company of New York, as administrative agent and Law Debenture Trust Company ofNew York, as collateral agent",360,"Wilmington Trust Company, as pass through trustee, as subordination agent; Deutsche Bank Securities Inc., Morgan Stanley & Co. LLC[…]purchasers; Deutsche Bank Trust Company Americas, as depositary; MorganStanley Bank, N.A., as […] liquidity provider",270,,yes,confirmed,DE,,0,809.520,"2,794.163",31.0%,3940,yes,yes,yes,-387.000,-538.745,9.000,466.000,246.000,yes,yes,"15,900","10,400","11,600","7,900",no,,yes,fee auditor,91,continuing 2012-05-14,yes,97.256,93.280,,98.737,97.163,100.283,95.840,002337,002337,Montreal,0.54%,"1,649,519",Outside United States,,Canada,409,,-490.000,41.000,DE,yes,not on spreadsheet,,DE; PA ED,Kevin J. Carey,Kevin J. Carey,"8,412",,,"8,412","11,710","3,169","3,081","2,213",11,4,,19.5,,AbitibiBowater Inc.,-490.000,41.000,,free fall,86,3.25,5.25,3.25,8.25,3.25,3.25,,,,,emerged no refile 5,yes,,yes,no,yes,no,"6,771",,,"6,771","9,425,949,751","4,756",Yes,Paper Mills,D: Manufacturing,262 Paper Mills,26 Paper and Allied Products,2621,no,Not tort,,,no,no,Bowater Canada Finance Corporation,,yes,"Aurelius Capital Management, LP",AlixPartners; Huron Consulting Services LLC,Vice President Restructuring; no office,Lisa J. Donahue; Michael Draa,yes,advise,"306,770,000",voluntary,2010,2010,2010,2009,
Acceptance Insurance Companies Inc.,,,279,,279,434,,51,33,,,,,05-80059,,,John E. Martin,End date is the Chapter 7 conversion date,NoReplace,0000074783,,,,Other,11,Omaha,,no,,,,yes,McGrath North,"McGrath North Mullin & Kratz, PC LLO",,no,,,,no,,,,,190.7,004308,102,,12/31/2003,,12/31/2003,12/31/2003,,,,,,,12/15/1999,9/7/2010,1/10/2005,,,9/7/2010,,,9/7/2010,,,,1/7/2005,6/28/1985,,,,,,,"2,069",OT,Kutak Rock,Kutak Rock LLP,,,no,,,,,,no,converted,NE,,,,,,,yes,yes,yes,-34.136,-53.128,-32.104,,,no,no,23,,1,,no,,no,no,25,liquidation,,96.753,90.857,,97.642,87.439,100.173,83.791,008173,,Council Bluffs,0.02%,"58,928",IA Council Bluffs,1074,IA,12,1,-43.308,,DE,,,,NE,Timothy J. Mahoney,Timothy J. Mahoney,,377,,377,587,,213,137,9,1,,69.0,,not applicable,-43.308,,,free fall,785,3.25,4.00,3.25,4.25,3.25,5.25,,,,,not emerged 5,no,,no,no,no confirmation,maybe,,4,,4,"6,225,422",,Yes,"Fire, Marine, And Casualty Insurance","H: Finance, Insurance, And Real Estate","633 Fire, Marine, And Casualty Insurance",63 Insurance Carriers,6331,,Not tort,,,,no,,,no,no,none,no turnfirm,none,no,none,"295,520,000",voluntary,,2010,,2005,
