,NameCorp,Cusip6,Cusip9
0,1st Centennial Bancorp,31986N,102
1,"21st Century Oncology Holdings, Inc.",90131G,107
2,"A. H. Robins Company, Inc.",770706,109
3,A. M. Castle & Co.,148411,101
4,"A123 Systems, Inc.",03739T,108
5,"AAC Holdings, Inc.",000307,108
6,aaiPharma Inc.,00252W,104
7,"ABC-NACO, Inc.",00287P,105
8,AbitibiBowater Inc.,003687,209
9,Acceptance Insurance Companies Inc.,004308,102
10,Aceto Corporation,004446,100
11,"Acme Metals, Incorporated",004724,100
12,"ACT Manufacturing, Inc.",000973,107
13,Acterna Corp.,00503U,105
14,"Adelphia Business Solutions, Inc.",006847,107
15,Adelphia Communications Corp.,006848,105
16,Adeptus Health Inc.,006855,100
17,Advanced Radio Telecom Corp.,31865X,106
18,Advanta Corp.,007942,204
19,"Aeropostale, Inc.",007865,108
20,"AgriBioTech, Inc.",008494,106
21,Agway Inc.,008662,108
22,Air Florida System Inc.,009114,109
23,"Akorn, Inc.",009728,106
24,"Al Copeland Enterprises, Inc.",217213,933
25,Alexanders Inc.,014752,109
26,"Allegheny International, Inc.",867071,102
27,Allegiance Telecom Inc.,01747T,102
28,Alliance Entertainment Corp.,018593,103
29,"Allied Holdings, Inc.",019223,106
30,Allied Nevada Gold Corp.,019344,100
31,Allied Products Corp.,019411,107
32,Allis-Chalmers Corp.,019645,506
33,"Alpha Natural Resources, Inc.",02076X,102
34,"Alta Mesa Resources, Inc. (Alta Mesa Holdings, LP)",02133L,109
35,Alterra HealthCare Corp,02146C,104
36,"AM International, Inc. (1982)",625440,102
37,"AM International, Inc. (1993)",625440,102
38,Amarex Inc.,023006,109
39,"Ambac Financial Group, Inc.",023139,108
40,Amcast Industrial Corporation (2004),023395,106
41,Amcast Industrial Corporation (2005),023395,106
42,"AMCORE Financial, Inc.",023912,108
43,Amdura Corp.,023426,703
44,Amerco,023586,100
45,America West Airlines Inc.,90341W,108
46,"American Apparel, Inc. (2015)",023850,100
47,"American Apparel, Inc. (2016)",023850,100
48,American Banknote Corporation,024490,302
49,"American Business Financial Services, Inc.",02476B,106
50,American Carriers Inc.,89365P,106
51,American Classic Voyages Co.,024928,103
52,American Commercial Lines LLC,025198,938
53,American Continental Corporation,025242,207
54,American Eco Corp.,02553G,101
55,"American Healthcare Management, Inc.",026496,208
56,American Home Mortgage Investment Corp.,02660R,107
57,American Homestar Corp.,026652,107
58,"American Media Operations, Inc.",02744R,990
59,American Mortgage Acceptance Company,027568,104
60,American Pad & Paper Company,028816,106
61,American Plumbing & Mechanical Inc.,029050,937
62,"American Rice, Inc.",029318,300
63,"American Spectrum Realty, Inc.",02970Q,203
64,"American Tissue, Inc.",030222,939
65,AmericanWest Bancorporation,03058P,109
66,Americold Corp.,03060T,107
67,"Ames Department Stores, Inc. (1990)",030789,507
68,"Ames Department Stores, Inc. (2001)",030789,507
69,"AMF Bowling Worldwide, Inc.",030985,10
70,Ampal-American Israel Corporation,032015,109
71,AMR Corporation,001765,106
72,"AMRESCO, Inc.",031909,203
73,Amwest Insurance Group Inc.,032345,100
74,"Anacomp, Inc.",03237E,108
75,ANC Rental Corp.,001813,104
76,Anchor BanCorp Wisconsin Inc.,032839,102
77,Anchor Glass Container Corp. (1996),03304B,300
78,Anchor Glass Container Corporation (2005),03304B,300
79,Angeles Corp.,034624,403
80,"Anglo Energy, Ltd. (1983)",035054,10
81,"Anicom, Inc.",035250,109
82,"Anthracite Capital, Inc.",037023,108
83,"AP Industries, Inc.",001870,104
84,Apex Silver Mines Limited,381119,106
85,Appletree Markets Inc.,03799X,007
86,"Applied Extrusion Technologies, Inc.",038196,101
87,Applied Magnetics Corporation,038213,104
88,Approach Resources Inc.,03834A,103
89,APS Holding Corp.,001937,101
90,APW Ltd.,G04397,108
91,"Arch Coal, Inc.",039380,308
92,Arch Wireless Inc.,90341G,103
93,"Arm Financial Group, Inc.",001944,107
