instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US0019371014,2001-10-15T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-10-24T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-10-29T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-10-30T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-10-31T00:00:00,0.005,0.001,0.001,0.001,0
US0019371014,2001-11-05T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2001-11-07T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-08T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-12T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-13T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-14T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-15T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-21T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-26T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-11-27T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-03T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-04T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-05T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-06T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-07T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-10T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-11T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-12T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-13T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-14T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-17T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2001-12-18T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2001-12-19T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-20T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-21T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-24T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-26T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-27T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-28T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2001-12-31T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-10T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-11T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-14T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-15T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-17T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-18T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-22T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-24T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-25T00:00:00,0.002,0.001,0.001,0.001,0
US0019371014,2002-01-29T00:00:00,0.01,0.001,0.001,0.001,0
US0019371014,2002-02-04T00:00:00,0.008,0.001,0.001,0.001,0
US0019371014,2002-02-05T00:00:00,0.006,0.001,0.001,0.001,0
US0019371014,2002-02-07T00:00:00,0.006,0.001,0.001,0.001,0
US0019371014,2002-02-08T00:00:00,0.006,0.001,0.001,0.001,0
US0019371014,2002-02-12T00:00:00,0.008,0.001,0.001,0.001,0
US0019371014,2002-02-15T00:00:00,0.006,0.001,0.001,0.001,0
US0019371014,2002-02-22T00:00:00,0.006,0.001,0.001,0.001,0
US0019371014,2002-02-28T00:00:00,0.008,0.001,0.001,0.001,0
US0019371014,2002-03-01T00:00:00,0.006,0.001,0.001,0.001,0
US0019371014,2002-03-14T00:00:00,0.006,0.003,0.003,0.003,0
US0019371014,2002-03-18T00:00:00,0.005,0.003,0.003,0.003,0
US0019371014,2002-03-20T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-03-22T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-03-25T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-01T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-04T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-08T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-11T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-15T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-17T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-19T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-04-23T00:00:00,0.005,0.001,0.001,0.001,0
US0019371014,2002-05-06T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-05-07T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-05-08T00:00:00,0.005,0.001,0.001,0.001,0
US0019371014,2002-05-09T00:00:00,0.005,0.001,0.001,0.001,0
US0019371014,2002-05-14T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-05-15T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-05-17T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-05-31T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-06-06T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-06-07T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-06-10T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-06-17T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-06-28T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-07-15T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-07-18T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-07-19T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-07-22T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-07-24T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-07-31T00:00:00,0.003,0.001,0.001,0.001,0
US0019371014,2002-08-05T00:00:00,0.003,0.003,0.004,0.003,0
US0019371014,2002-08-07T00:00:00,0.003,0.003,0.004,0.003,0
US0019371014,2002-08-09T00:00:00,0.003,0.003,0.004,0.003,0
US0019371014,2002-08-12T00:00:00,0.003,0.003,0.004,0.003,0
US0019371014,2002-08-13T00:00:00,0.003,0.003,0.004,0.003,0
US0019371014,2002-08-16T00:00:00,0.005,0.004,0.004,0.004,0
