instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US03304B3006,2003-09-25T00:00:00,16.8,15.9,17.02,15.9,0
US03304B3006,2003-09-26T00:00:00,16.36,16.55,16.65,16.17,0
US03304B3006,2003-09-29T00:00:00,16.4,16.4,16.5,16.25,0
US03304B3006,2003-09-30T00:00:00,16.36,16.4,16.47,16.19,0
US03304B3006,2003-10-01T00:00:00,16.6,16.25,16.75,16.25,0
US03304B3006,2003-10-02T00:00:00,16.51,16.45,16.6,16.25,0
US03304B3006,2003-10-03T00:00:00,16.331,16.35,16.45,16.25,0
US03304B3006,2003-10-06T00:00:00,16.37,16.5,16.651,16.36,0
US03304B3006,2003-10-07T00:00:00,16.4,16.37,16.48,16.25,0
US03304B3006,2003-10-08T00:00:00,16.4,16.38,16.6,16.3,0
US03304B3006,2003-10-09T00:00:00,16.44,16.39,16.51,16.35,0
US03304B3006,2003-10-10T00:00:00,16.35,16.41,16.43,16.3,0
US03304B3006,2003-10-13T00:00:00,16.4,16.3,16.42,16.3,0
US03304B3006,2003-10-14T00:00:00,16.28,16.35,16.41,16.08,0
US03304B3006,2003-10-15T00:00:00,16.16,16.15,16.255,16.11,0
US03304B3006,2003-10-16T00:00:00,16.4,16.15,16.4,16.12,0
US03304B3006,2003-10-17T00:00:00,16.4,16.25,16.45,16.25,0
US03304B3006,2003-10-20T00:00:00,16.4,16.4,16.46,16.4,0
US03304B3006,2003-10-21T00:00:00,16.44,16.4,16.44,16.33,0
US03304B3006,2003-10-22T00:00:00,16.15,16.37,16.37,16.1,0
US03304B3006,2003-10-23T00:00:00,16.15,16.15,16.2,16.15,0
US03304B3006,2003-10-24T00:00:00,16.2,16.15,16.3,16.15,0
US03304B3006,2003-10-27T00:00:00,16.25,16.2,16.349,16.19,0
US03304B3006,2003-10-28T00:00:00,16.22,16.2,16.3,16.18,0
US03304B3006,2003-10-29T00:00:00,16.2,16.3,16.36,16.15,0
US03304B3006,2003-10-30T00:00:00,16.15,16.15,16.3,16.15,0
US03304B3006,2003-10-31T00:00:00,16.15,16.15,16.34,16.15,0
US03304B3006,2003-11-03T00:00:00,16.21,16.15,16.29,16.15,0
US03304B3006,2003-11-04T00:00:00,16.2,16.15,16.25,16.15,0
US03304B3006,2003-11-05T00:00:00,15.75,16.05,16.37,15.4,0
US03304B3006,2003-11-06T00:00:00,15.9,15.75,16.0,15.75,0
US03304B3006,2003-11-07T00:00:00,15.4,15.8,15.8,15.4,0
US03304B3006,2003-11-10T00:00:00,15.0,15.35,15.35,13.9,0
US03304B3006,2003-11-11T00:00:00,15.0,15.0,15.25,15.0,0
