instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US21676P1030,2013-10-17T00:00:00,55.0,55.0,56.01,54.51,0
US21676P1030,2013-10-18T00:00:00,54.95,54.95,54.95,54.95,0
US21676P1030,2013-10-21T00:00:00,51.76,54.0,54.0,51.76,0
US21676P1030,2013-10-22T00:00:00,52.5,51.5,52.5,51.5,0
US21676P1030,2013-10-24T00:00:00,54.0,54.0,54.0,54.0,0
US21676P1030,2013-10-25T00:00:00,54.0,56.8,56.8,54.0,0
US21676P1030,2013-10-28T00:00:00,54.0,56.6,56.6,54.0,0
US21676P1030,2013-10-29T00:00:00,54.48,54.0,54.48,54.0,0
US21676P1030,2013-10-31T00:00:00,54.0,54.0,54.0,54.0,0
US21676P1030,2013-11-04T00:00:00,53.75,54.0,54.01,53.75,0
US21676P1030,2013-11-07T00:00:00,53.0,53.0,53.0,53.0,0
US21676P1030,2013-11-08T00:00:00,52.0,52.0,52.0,52.0,0
US21676P1030,2013-11-12T00:00:00,51.45,50.02,51.45,49.4,0
US21676P1030,2013-11-13T00:00:00,52.27,52.27,52.27,52.27,0
US21676P1030,2013-11-15T00:00:00,49.5,49.5,49.5,49.5,0
US21676P1030,2013-11-18T00:00:00,49.05,48.5,49.5,48.5,0
US21676P1030,2013-11-21T00:00:00,49.94,49.94,49.94,49.94,0
US21676P1030,2013-11-22T00:00:00,50.5,50.5,50.5,50.5,0
US21676P1030,2013-11-25T00:00:00,48.54,48.66,48.66,48.54,0
US21676P1030,2013-11-27T00:00:00,48.75,48.75,48.75,48.75,0
US21676P1030,2013-11-29T00:00:00,48.75,48.75,48.75,48.75,0
US21676P1030,2013-12-02T00:00:00,50.0,50.95,50.95,50.0,0
US21676P1030,2013-12-03T00:00:00,50.0,50.0,50.0,50.0,0
US21676P1030,2013-12-04T00:00:00,50.0,49.5,50.0,49.5,0
