instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US22161G1031,1996-10-03T00:00:00,12.625,12.75,13.0,12.5,0
US22161G1031,1996-10-04T00:00:00,13.5,12.875,13.75,12.625,0
US22161G1031,1996-10-07T00:00:00,13.0,13.625,13.625,12.75,0
US22161G1031,1996-10-08T00:00:00,12.875,12.75,13.0,12.75,0
US22161G1031,1996-10-09T00:00:00,12.75,12.75,13.0,12.75,0
US22161G1031,1996-10-10T00:00:00,12.75,12.75,13.0,12.625,0
US22161G1031,1996-10-11T00:00:00,12.625,12.625,13.0,12.625,0
US22161G1031,1996-10-14T00:00:00,12.5,12.625,12.75,12.5,0
US22161G1031,1996-10-15T00:00:00,12.5,12.5,12.875,12.5,0
US22161G1031,1996-10-16T00:00:00,12.75,12.5,12.75,12.5,0
US22161G1031,1996-10-17T00:00:00,12.5,12.5,12.75,12.5,0
US22161G1031,1996-10-18T00:00:00,12.5,12.5,12.75,12.5,0
US22161G1031,1996-10-21T00:00:00,12.625,12.5,12.75,12.5,0
US22161G1031,1996-10-22T00:00:00,12.75,12.5,12.75,12.5,0
US22161G1031,1996-10-23T00:00:00,12.5,12.5,12.75,12.5,0
US22161G1031,1996-10-24T00:00:00,12.5625,12.5,12.75,12.5,0
US22161G1031,1996-10-25T00:00:00,12.625,12.5,12.75,12.5,0
US22161G1031,1996-10-28T00:00:00,12.5,12.5,12.6875,12.5,0
US22161G1031,1996-10-29T00:00:00,12.5,12.625,12.625,12.5,0
US22161G1031,1996-10-30T00:00:00,12.5,12.5,12.5,12.5,0
US22161G1031,1996-10-31T00:00:00,12.75,12.625,13.25,12.5,0
US22161G1031,1996-11-01T00:00:00,12.5,12.875,12.875,12.5,0
US22161G1031,1996-11-04T00:00:00,12.5,12.5,12.875,12.5,0
US22161G1031,1996-11-05T00:00:00,12.5,12.875,12.875,12.5,0
US22161G1031,1996-11-06T00:00:00,12.5,12.5,12.75,12.5,0
US22161G1031,1996-11-07T00:00:00,12.5,12.5,12.75,12.5,0
US22161G1031,1996-11-08T00:00:00,12.375,12.25,12.5,12.25,0
US22161G1031,1996-11-11T00:00:00,12.25,12.4375,12.5,12.25,0
US22161G1031,1996-11-12T00:00:00,12.25,12.25,12.5,12.25,0
US22161G1031,1996-11-13T00:00:00,12.5,12.5,12.5,12.25,0
US22161G1031,1996-11-14T00:00:00,12.0,12.25,12.25,12.0,0
US22161G1031,1996-11-15T00:00:00,11.75,12.0,12.0,11.75,0
US22161G1031,1996-11-18T00:00:00,11.75,11.75,11.875,11.75,0
US22161G1031,1996-11-19T00:00:00,12.125,11.75,12.125,11.75,0
US22161G1031,1996-11-20T00:00:00,11.875,11.75,12.125,11.75,0
US22161G1031,1996-11-21T00:00:00,12.25,11.875,12.25,11.875,0
US22161G1031,1996-11-22T00:00:00,12.0,12.0,12.25,11.875,0
US22161G1031,1996-11-25T00:00:00,12.25,12.25,12.25,11.875,0
US22161G1031,1996-11-26T00:00:00,11.875,11.875,12.25,11.875,0
US22161G1031,1996-11-27T00:00:00,11.875,11.875,12.125,11.875,0
US22161G1031,1996-11-29T00:00:00,12.25,12.25,12.25,12.0,0
US22161G1031,1996-12-02T00:00:00,12.25,11.875,12.625,11.875,0
US22161G1031,1996-12-03T00:00:00,12.625,12.5,12.625,12.25,0
US22161G1031,1996-12-04T00:00:00,12.5,12.5625,12.625,12.125,0
US22161G1031,1996-12-05T00:00:00,12.75,12.125,12.875,12.125,0
US22161G1031,1996-12-06T00:00:00,13.5,12.5,13.875,12.5,0
US22161G1031,1996-12-09T00:00:00,12.625,13.25,13.5,12.625,0
US22161G1031,1996-12-10T00:00:00,12.75,12.625,13.0,12.5,0
US22161G1031,1996-12-11T00:00:00,12.75,12.875,12.875,12.5,0
US22161G1031,1996-12-12T00:00:00,12.75,12.875,12.875,12.5,0
US22161G1031,1996-12-13T00:00:00,12.875,12.5,12.875,12.5,0
US22161G1031,1996-12-16T00:00:00,13.125,12.5,13.375,12.5,0
US22161G1031,1996-12-17T00:00:00,13.25,13.0,13.25,12.625,0
US22161G1031,1996-12-18T00:00:00,13.0,13.375,13.375,13.0,0
US22161G1031,1996-12-19T00:00:00,13.5,13.375,13.5,13.25,0
US22161G1031,1996-12-20T00:00:00,13.25,13.25,13.5,13.25,0
US22161G1031,1996-12-23T00:00:00,13.25,13.5,13.5,13.25,0
US22161G1031,1996-12-24T00:00:00,13.25,13.25,13.25,13.25,0
US22161G1031,1996-12-26T00:00:00,13.25,13.5,13.5,13.0,0
US22161G1031,1996-12-27T00:00:00,13.25,13.25,13.25,13.0,0
US22161G1031,1996-12-30T00:00:00,13.625,13.625,13.625,13.25,0
US22161G1031,1996-12-31T00:00:00,13.625,13.25,13.625,13.25,0
US22161G1031,1997-01-02T00:00:00,13.25,13.625,13.625,13.125,0
US22161G1031,1997-01-03T00:00:00,13.375,13.375,13.375,13.0,0
US22161G1031,1997-01-06T00:00:00,13.5,13.0,13.5,13.0,0
US22161G1031,1997-01-07T00:00:00,13.5,13.5,13.5,13.0,0
US22161G1031,1997-01-08T00:00:00,13.25,13.5,13.5,13.25,0
