instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US37045V1008,2010-11-18T00:00:00,34.19,35.0,35.99,33.9,0
US37045V1008,2010-11-19T00:00:00,34.26,34.25,34.5,33.11,0
US37045V1008,2010-11-22T00:00:00,34.08,34.25,34.47,33.82,0
US37045V1008,2010-11-23T00:00:00,33.25,33.99,33.99,33.19,0
US37045V1008,2010-11-24T00:00:00,33.48,33.8,33.8,33.23,0
US37045V1008,2010-11-26T00:00:00,33.81,33.41,33.81,33.21,0
US37045V1008,2010-11-29T00:00:00,33.8,33.79,33.81,33.07,0
US37045V1008,2010-11-30T00:00:00,34.2,33.55,34.25,33.36,0
US37045V1008,2010-12-01T00:00:00,34.78,34.65,34.95,34.42,0
US37045V1008,2010-12-02T00:00:00,34.68,34.98,34.98,34.51,0
US37045V1008,2010-12-03T00:00:00,34.55,34.5,34.6,33.97,0
US37045V1008,2010-12-06T00:00:00,34.48,34.54,34.78,34.41,0
US37045V1008,2010-12-07T00:00:00,34.68,34.75,34.89,34.46,0
US37045V1008,2010-12-08T00:00:00,34.45,34.57,34.72,34.33,0
US37045V1008,2010-12-09T00:00:00,33.74,34.37,34.43,33.62,0
US37045V1008,2010-12-10T00:00:00,33.81,33.74,33.98,33.53,0
US37045V1008,2010-12-13T00:00:00,33.8,34.0,34.05,33.7,0
US37045V1008,2010-12-14T00:00:00,33.89,33.74,33.92,33.45,0
US37045V1008,2010-12-15T00:00:00,33.61,33.7,34.0,33.61,0
US37045V1008,2010-12-16T00:00:00,33.61,33.57,33.86,33.56,0
US37045V1008,2010-12-17T00:00:00,34.0,33.5,34.0,33.19,0
US37045V1008,2010-12-20T00:00:00,33.76,33.95,34.05,33.74,0
US37045V1008,2010-12-21T00:00:00,33.85,33.77,33.94,33.73,0
US37045V1008,2010-12-22T00:00:00,34.92,33.67,34.95,33.54,0
US37045V1008,2010-12-23T00:00:00,34.81,34.63,35.52,34.63,0
US37045V1008,2010-12-27T00:00:00,34.6,34.41,34.89,34.19,0
US37045V1008,2010-12-28T00:00:00,35.32,35.35,35.67,35.07,0
US37045V1008,2010-12-29T00:00:00,36.02,35.48,36.3,35.26,0
US37045V1008,2010-12-30T00:00:00,36.82,36.1,36.98,36.02,0
US37045V1008,2010-12-31T00:00:00,36.86,36.84,36.95,36.57,0
US37045V1008,2011-01-03T00:00:00,37.06,37.38,38.0,37.04,0
US37045V1008,2011-01-04T00:00:00,37.9,37.1,37.99,36.69,0
US37045V1008,2011-01-05T00:00:00,38.07,37.5,38.29,37.48,0
US37045V1008,2011-01-06T00:00:00,38.9,38.19,39.47,38.08,0
US37045V1008,2011-01-07T00:00:00,38.98,38.84,39.33,38.52,0
US37045V1008,2011-01-10T00:00:00,38.56,39.3,39.35,38.44,0
US37045V1008,2011-01-11T00:00:00,38.75,38.67,39.43,38.51,0
US37045V1008,2011-01-12T00:00:00,38.62,38.95,39.36,38.37,0
US37045V1008,2011-01-13T00:00:00,38.27,38.62,38.69,38.11,0
US37045V1008,2011-01-14T00:00:00,38.2,38.23,38.47,38.05,0
US37045V1008,2011-01-18T00:00:00,38.03,38.03,38.33,37.33,0
US37045V1008,2011-01-19T00:00:00,37.4,37.77,37.92,37.26,0
US37045V1008,2011-01-20T00:00:00,37.18,37.05,37.29,36.27,0
US37045V1008,2011-01-21T00:00:00,37.24,37.28,37.85,36.84,0
US37045V1008,2011-01-24T00:00:00,37.64,37.79,37.86,37.03,0
US37045V1008,2011-01-25T00:00:00,38.4,37.8,38.49,37.71,0
US37045V1008,2011-01-26T00:00:00,37.89,38.84,38.9,37.86,0
US37045V1008,2011-01-27T00:00:00,38.67,38.25,38.95,38.04,0
US37045V1008,2011-01-28T00:00:00,36.6,38.0,38.0,36.01,0
US37045V1008,2011-01-31T00:00:00,36.49,37.0,37.05,35.89,0
US37045V1008,2011-02-01T00:00:00,36.45,36.93,37.23,36.14,0
US37045V1008,2011-02-02T00:00:00,35.68,36.5,36.56,35.58,0
US37045V1008,2011-02-03T00:00:00,36.06,35.91,36.06,35.13,0
US37045V1008,2011-02-04T00:00:00,36.59,36.25,36.73,35.9,0
US37045V1008,2011-02-07T00:00:00,36.7,36.9,37.09,36.62,0
US37045V1008,2011-02-08T00:00:00,36.91,36.9,37.05,36.4,0
US37045V1008,2011-02-09T00:00:00,36.41,36.9,36.91,36.28,0
US37045V1008,2011-02-10T00:00:00,35.88,36.14,36.64,35.52,0
US37045V1008,2011-02-11T00:00:00,36.45,35.7,36.56,35.55,0
US37045V1008,2011-02-14T00:00:00,36.29,36.46,36.56,36.16,0
US37045V1008,2011-02-15T00:00:00,36.11,36.19,36.41,35.85,0
US37045V1008,2011-02-16T00:00:00,36.75,36.11,36.81,36.11,0
US37045V1008,2011-02-17T00:00:00,36.37,36.69,36.69,36.3,0
US37045V1008,2011-02-18T00:00:00,36.51,36.42,36.76,36.38,0
US37045V1008,2011-02-22T00:00:00,35.77,35.86,36.15,35.45,0
US37045V1008,2011-02-23T00:00:00,34.59,35.8,35.94,33.8,0
US37045V1008,2011-02-24T00:00:00,33.02,34.9,35.0,32.05,0
US37045V1008,2011-02-25T00:00:00,33.25,33.65,34.2,33.06,0
US37045V1008,2011-02-28T00:00:00,33.53,33.37,33.73,32.86,0
US37045V1008,2011-03-01T00:00:00,32.95,33.75,33.75,32.43,0
US37045V1008,2011-03-02T00:00:00,32.88,32.9,33.17,32.59,0
US37045V1008,2011-03-03T00:00:00,33.03,33.02,33.17,32.66,0
US37045V1008,2011-03-04T00:00:00,32.39,33.07,33.07,32.01,0
US37045V1008,2011-03-07T00:00:00,31.7,32.45,32.5,31.52,0
US37045V1008,2011-03-08T00:00:00,32.72,31.7,32.82,31.7,0
US37045V1008,2011-03-09T00:00:00,32.25,32.7,32.75,32.11,0
US37045V1008,2011-03-10T00:00:00,31.42,31.5,31.77,30.95,0
US37045V1008,2011-03-11T00:00:00,31.93,31.25,32.05,31.24,0
US37045V1008,2011-03-14T00:00:00,31.59,32.03,32.3,31.43,0
US37045V1008,2011-03-15T00:00:00,32.35,30.85,32.49,30.65,0
US37045V1008,2011-03-16T00:00:00,31.78,32.35,32.53,31.4,0
US37045V1008,2011-03-17T00:00:00,31.44,32.25,32.39,31.33,0
US37045V1008,2011-03-18T00:00:00,31.85,31.65,31.95,31.43,0
US37045V1008,2011-03-21T00:00:00,31.28,32.28,32.3,31.23,0
US37045V1008,2011-03-22T00:00:00,30.74,31.25,31.34,30.51,0
US37045V1008,2011-03-23T00:00:00,31.16,30.6,31.28,30.21,0
US37045V1008,2011-03-24T00:00:00,31.39,31.31,31.59,31.24,0
US37045V1008,2011-03-25T00:00:00,31.47,31.5,31.7,31.09,0
US37045V1008,2011-03-28T00:00:00,30.85,31.5,31.54,30.85,0
US37045V1008,2011-03-29T00:00:00,31.1,30.85,31.17,30.68,0
US37045V1008,2011-03-30T00:00:00,31.55,31.16,31.63,31.04,0
US37045V1008,2011-03-31T00:00:00,31.03,31.48,31.55,31.01,0
US37045V1008,2011-04-01T00:00:00,32.41,31.39,32.63,30.84,0
US37045V1008,2011-04-04T00:00:00,32.39,32.5,32.71,32.2,0
US37045V1008,2011-04-05T00:00:00,32.87,32.35,32.87,32.11,0
