instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US37245X2036,2004-12-01T00:00:00,48.95,48.99,48.99,48.95,0
US37245X2036,2004-12-03T00:00:00,48.99,48.99,48.99,48.99,0
US37245X2036,2004-12-08T00:00:00,51.75,52.5,52.75,51.7,0
US37245X2036,2004-12-09T00:00:00,49.9,51.85,51.85,49.43,0
US37245X2036,2004-12-10T00:00:00,49.89,49.89,50.0,49.5,0
US37245X2036,2004-12-13T00:00:00,51.55,49.95,52.66,49.95,0
US37245X2036,2004-12-14T00:00:00,51.85,51.98,52.3,51.85,0
US37245X2036,2004-12-15T00:00:00,43.9,45.22,45.7,43.89,0
US37245X2036,2004-12-16T00:00:00,43.49,42.58,43.97,42.53,0
US37245X2036,2004-12-17T00:00:00,44.52,43.73,45.19,43.73,0
US37245X2036,2004-12-20T00:00:00,44.3,42.7,44.3,42.7,0
US37245X2036,2004-12-21T00:00:00,44.49,44.0,44.49,44.0,0
US37245X2036,2004-12-22T00:00:00,43.94,42.7,43.99,42.5,0
US37245X2036,2004-12-23T00:00:00,44.0,44.09,44.09,44.0,0
US37245X2036,2004-12-28T00:00:00,44.07,44.24,44.24,44.01,0
US37245X2036,2004-12-29T00:00:00,44.5,44.49,44.5,44.0,0
US37245X2036,2004-12-30T00:00:00,44.5,44.5,44.7,44.5,0
US37245X2036,2004-12-31T00:00:00,44.9,44.99,44.99,44.9,0
US37245X2036,2005-01-03T00:00:00,45.05,44.54,45.05,44.5,0
US37245X2036,2005-01-04T00:00:00,45.05,45.05,45.05,45.05,0
US37245X2036,2005-01-05T00:00:00,44.49,44.95,44.95,44.49,0
US37245X2036,2005-01-07T00:00:00,44.99,44.99,44.99,44.99,0
US37245X2036,2005-01-10T00:00:00,44.94,44.94,44.94,44.94,0
US37245X2036,2005-01-14T00:00:00,44.71,44.98,44.98,44.71,0
US37245X2036,2005-01-18T00:00:00,44.54,44.1,44.93,44.1,0
US37245X2036,2005-01-19T00:00:00,44.5,44.5,44.5,44.5,0
US37245X2036,2005-01-20T00:00:00,44.5,44.5,44.5,44.5,0
US37245X2036,2005-01-21T00:00:00,44.74,44.5,44.74,44.5,0
US37245X2036,2005-01-24T00:00:00,44.72,44.62,44.74,44.62,0
US37245X2036,2005-01-25T00:00:00,44.74,44.75,44.75,44.65,0
US37245X2036,2005-01-26T00:00:00,44.5,44.5,44.5,44.5,0
