instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US37248E2028,2000-06-28T00:00:00,188.125,215.0,225.0,178.75,0
US37248E2028,2000-06-29T00:00:00,173.75,191.875,191.875,159.375,0
US37248E2028,2000-06-30T00:00:00,183.125,172.5,187.5,163.75,0
US37248E2028,2000-07-03T00:00:00,185.0,187.5,190.0,180.625,0
US37248E2028,2000-07-05T00:00:00,182.5,185.625,186.25,175.0,0
US37248E2028,2000-07-06T00:00:00,182.5,186.25,186.875,181.25,0
US37248E2028,2000-07-07T00:00:00,180.0,186.25,186.25,173.75,0
US37248E2028,2000-07-10T00:00:00,178.75,180.0,181.25,176.25,0
US37248E2028,2000-07-11T00:00:00,179.375,177.5,181.25,175.0,0
US37248E2028,2000-07-12T00:00:00,179.375,182.1876,183.75,177.5,0
US37248E2028,2000-07-13T00:00:00,171.25,179.375,180.0,163.75,0
US37248E2028,2000-07-14T00:00:00,170.625,170.625,173.75,167.5,0
US37248E2028,2000-07-17T00:00:00,165.0,171.25,171.25,162.5,0
US37248E2028,2000-07-18T00:00:00,181.25,166.25,181.25,165.0,0
US37248E2028,2000-07-19T00:00:00,195.625,181.25,199.375,181.25,0
US37248E2028,2000-07-20T00:00:00,206.25,200.0,208.75,196.25,0
US37248E2028,2000-07-21T00:00:00,202.5,208.125,208.125,196.875,0
US37248E2028,2000-07-24T00:00:00,196.25,208.75,210.0,193.125,0
US37248E2028,2000-07-25T00:00:00,198.75,203.125,203.75,187.5,0
US37248E2028,2000-07-26T00:00:00,195.0,199.6876,200.0,187.5,0
US37248E2028,2000-07-27T00:00:00,176.25,193.125,193.75,172.5,0
US37248E2028,2000-07-28T00:00:00,170.0,176.875,177.5,159.375,0
US37248E2028,2000-07-31T00:00:00,162.5,177.5,177.5,160.0,0
US37248E2028,2000-08-01T00:00:00,167.5,171.25,171.25,160.0,0
US37248E2028,2000-08-02T00:00:00,170.0,176.875,183.75,167.5,0
US37248E2028,2000-08-03T00:00:00,178.75,165.0,180.625,160.0,0
US37248E2028,2000-08-04T00:00:00,174.375,180.0,182.5,166.875,0
