instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US40108N1063,2007-12-12T00:00:00,18.5,18.0,18.6,17.5,0
US40108N1063,2007-12-13T00:00:00,18.1,17.5,18.5,17.5,0
US40108N1063,2007-12-14T00:00:00,18.0,18.0,18.0,18.0,0
US40108N1063,2007-12-17T00:00:00,17.75,17.75,17.75,17.75,0
US40108N1063,2007-12-18T00:00:00,16.75,18.0,18.0,16.75,0
US40108N1063,2007-12-19T00:00:00,16.5,16.5,17.0,16.25,0
US40108N1063,2007-12-20T00:00:00,15.1,16.0,16.0,14.5,0
US40108N1063,2007-12-21T00:00:00,14.9,15.1,15.1,14.75,0
US40108N1063,2007-12-26T00:00:00,15.0,15.0,15.0,14.75,0
US40108N1063,2007-12-27T00:00:00,14.75,15.0,15.0,14.75,0
US40108N1063,2007-12-28T00:00:00,14.5,14.6,14.6,13.25,0
US40108N1063,2007-12-31T00:00:00,16.0,14.45,16.58,14.38,0
US40108N1063,2008-01-02T00:00:00,15.5,15.22,16.3,14.51,0
US40108N1063,2008-01-03T00:00:00,15.5,15.5,16.58,15.0,0
US40108N1063,2008-01-04T00:00:00,13.28,15.1,15.25,13.03,0
US40108N1063,2008-01-07T00:00:00,12.9,13.18,13.4,12.45,0
US40108N1063,2008-01-08T00:00:00,12.39,13.0,13.17,11.59,0
US40108N1063,2008-01-09T00:00:00,11.81,11.75,11.89,10.6,0
US40108N1063,2008-01-10T00:00:00,12.0,11.65,12.78,11.28,0
US40108N1063,2008-01-11T00:00:00,12.15,11.95,12.5,11.5,0
US40108N1063,2008-01-14T00:00:00,12.09,12.0,12.42,11.46,0
US40108N1063,2008-01-15T00:00:00,11.9,11.97,12.02,11.72,0
US40108N1063,2008-01-16T00:00:00,12.41,11.85,12.74,11.8,0
US40108N1063,2008-01-17T00:00:00,11.96,11.5,12.3,11.5,0
US40108N1063,2008-01-18T00:00:00,12.5,12.03,12.68,12.0,0
US40108N1063,2008-01-22T00:00:00,13.21,12.0,13.83,11.25,0
US40108N1063,2008-01-23T00:00:00,13.74,13.75,13.92,12.98,0
US40108N1063,2008-01-24T00:00:00,12.47,13.99,14.33,12.35,0
US40108N1063,2008-01-25T00:00:00,14.1,13.1,14.45,13.1,0
US40108N1063,2008-01-28T00:00:00,14.08,14.05,14.19,13.41,0
US40108N1063,2008-01-29T00:00:00,13.85,14.25,15.01,13.48,0
US40108N1063,2008-01-30T00:00:00,13.98,13.65,14.57,13.46,0
US40108N1063,2008-01-31T00:00:00,13.95,13.75,14.3,13.54,0
US40108N1063,2008-02-01T00:00:00,14.12,13.96,14.49,13.93,0
US40108N1063,2008-02-04T00:00:00,13.82,14.0,14.4199,13.76,0
US40108N1063,2008-02-05T00:00:00,13.15,13.78,13.86,12.98,0
US40108N1063,2008-02-06T00:00:00,15.33,13.3,16.45,13.3,0
US40108N1063,2008-02-07T00:00:00,15.42,14.95,15.49,14.52,0
US40108N1063,2008-02-08T00:00:00,16.09,15.03,16.2,15.03,0
US40108N1063,2008-02-11T00:00:00,16.0,16.44,16.44,15.54,0
US40108N1063,2008-02-12T00:00:00,15.84,16.0,16.78,15.69,0
US40108N1063,2008-02-13T00:00:00,15.74,15.69,16.44,15.61,0
US40108N1063,2008-02-14T00:00:00,15.87,15.5,16.25,15.5,0
US40108N1063,2008-02-15T00:00:00,15.57,15.47,15.69,15.08,0
US40108N1063,2008-02-19T00:00:00,15.97,15.95,16.24,15.62,0
US40108N1063,2008-02-20T00:00:00,15.87,15.65,15.87,15.04,0
US40108N1063,2008-02-21T00:00:00,15.12,15.9,16.0,15.05,0
US40108N1063,2008-02-22T00:00:00,15.79,15.4,15.79,15.25,0
US40108N1063,2008-02-25T00:00:00,15.75,15.49,15.8,14.74,0
US40108N1063,2008-02-26T00:00:00,15.76,15.6,15.9399,15.48,0
US40108N1063,2008-02-27T00:00:00,15.02,15.71,15.99,14.39,0
US40108N1063,2008-02-28T00:00:00,13.84,14.64,14.9,13.83,0
US40108N1063,2008-02-29T00:00:00,13.09,13.99,14.02,12.83,0
US40108N1063,2008-03-03T00:00:00,12.49,13.39,13.39,12.3,0
US40108N1063,2008-03-04T00:00:00,12.36,12.95,12.95,12.19,0
US40108N1063,2008-03-05T00:00:00,12.43,12.16,12.54,12.1,0
US40108N1063,2008-03-06T00:00:00,11.67,12.15,12.26,11.52,0
US40108N1063,2008-03-07T00:00:00,11.55,11.75,11.87,11.17,0
US40108N1063,2008-03-10T00:00:00,10.19,11.35,11.35,10.01,0
US40108N1063,2008-03-11T00:00:00,10.65,10.5,11.04,9.73,0
US40108N1063,2008-03-12T00:00:00,10.72,10.72,11.74,10.7,0
US40108N1063,2008-03-13T00:00:00,10.52,10.6,10.62,10.15,0
US40108N1063,2008-03-14T00:00:00,9.88,10.67,10.73,9.82,0
US40108N1063,2008-03-17T00:00:00,9.05,9.6,9.6,8.67,0
US40108N1063,2008-03-18T00:00:00,10.16,9.1,10.41,9.1,0
US40108N1063,2008-03-19T00:00:00,10.71,10.16,11.11,10.0,0
US40108N1063,2008-03-20T00:00:00,11.48,10.61,11.48,10.61,0
US40108N1063,2008-03-24T00:00:00,11.74,11.58,11.92,11.3301,0
US40108N1063,2008-03-25T00:00:00,11.88,11.83,11.93,11.3,0
US40108N1063,2008-03-26T00:00:00,11.08,11.12,11.726,10.85,0
US40108N1063,2008-03-27T00:00:00,10.64,11.08,11.23,10.64,0
US40108N1063,2008-03-28T00:00:00,10.16,10.65,11.07,10.09,0
US40108N1063,2008-03-31T00:00:00,10.62,10.2,10.68,9.96,0
US40108N1063,2008-04-01T00:00:00,11.17,10.78,11.49,10.63,0
US40108N1063,2008-04-02T00:00:00,11.26,11.17,11.6,10.85,0
US40108N1063,2008-04-03T00:00:00,12.07,11.2,12.3,11.077,0
US40108N1063,2008-04-04T00:00:00,11.94,12.05,12.22,11.72,0
US40108N1063,2008-04-07T00:00:00,12.53,12.08,12.54,12.0,0
US40108N1063,2008-04-08T00:00:00,12.5,12.7,12.77,12.39,0
US40108N1063,2008-04-09T00:00:00,12.07,12.48,12.7,12.07,0
US40108N1063,2008-04-10T00:00:00,11.69,12.02,12.24,11.63,0
US40108N1063,2008-04-11T00:00:00,11.55,11.49,11.73,11.2101,0
US40108N1063,2008-04-14T00:00:00,11.05,11.55,11.57,11.05,0
US40108N1063,2008-04-15T00:00:00,11.28,11.2,11.4,11.2,0
US40108N1063,2008-04-16T00:00:00,11.88,11.35,11.96,11.25,0
US40108N1063,2008-04-17T00:00:00,11.78,11.85,11.94,11.49,0
US40108N1063,2008-04-18T00:00:00,11.81,11.96,11.96,11.64,0
US40108N1063,2008-04-21T00:00:00,11.62,11.78,11.81,11.51,0
US40108N1063,2008-04-22T00:00:00,11.21,11.62,11.64,11.21,0
US40108N1063,2008-04-23T00:00:00,10.95,11.27,11.52,10.66,0
US40108N1063,2008-04-24T00:00:00,10.82,10.94,11.04,10.71,0
US40108N1063,2008-04-25T00:00:00,10.84,10.7,10.84,10.68,0
US40108N1063,2008-04-28T00:00:00,10.4,10.72,11.0,10.4,0
US40108N1063,2008-04-29T00:00:00,8.43,10.15,10.24,8.3701,0
US40108N1063,2008-04-30T00:00:00,7.65,8.5,8.6799,7.44,0
US40108N1063,2008-05-01T00:00:00,6.26,7.95,7.98,5.8,0
US40108N1063,2008-05-02T00:00:00,6.84,6.35,6.9,6.35,0
US40108N1063,2008-05-05T00:00:00,7.47,6.73,7.85,6.73,0
US40108N1063,2008-05-06T00:00:00,7.27,7.5,7.66,6.994,0
US40108N1063,2008-05-07T00:00:00,7.43,7.35,7.93,7.24,0
US40108N1063,2008-05-08T00:00:00,7.23,7.5,7.6,7.23,0
US40108N1063,2008-05-09T00:00:00,7.28,7.24,7.49,7.13,0
US40108N1063,2008-05-12T00:00:00,6.89,7.24,7.24,6.76,0
