instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US67019U1016,2000-07-13T00:00:00,44.0,42.0,44.125,41.8125,0
US67019U1016,2000-07-14T00:00:00,46.0,43.75,46.0,43.0,0
US67019U1016,2000-07-17T00:00:00,45.125,45.90625,47.875,44.75,0
US67019U1016,2000-07-18T00:00:00,43.75,43.625,44.125,43.0,0
US67019U1016,2000-07-19T00:00:00,43.0,43.25,43.5,42.25,0
US67019U1016,2000-07-20T00:00:00,41.75,42.5,42.5,36.3125,0
US67019U1016,2000-07-21T00:00:00,43.25,41.53125,43.625,41.53125,0
US67019U1016,2000-07-24T00:00:00,42.0,43.0,43.25,41.875,0
US67019U1016,2000-07-25T00:00:00,43.5,42.8125,43.5,42.0,0
US67019U1016,2000-07-26T00:00:00,41.8125,42.5,42.5,41.0,0
US67019U1016,2000-07-27T00:00:00,40.9375,41.4375,42.0,40.875,0
US67019U1016,2000-07-28T00:00:00,39.0,40.8125,40.875,38.4375,0
US67019U1016,2000-07-31T00:00:00,39.875,38.25,40.25,38.125,0
US67019U1016,2000-08-01T00:00:00,39.625,39.875,39.875,39.5,0
US67019U1016,2000-08-02T00:00:00,38.375,38.0,38.875,35.6875,0
US67019U1016,2000-08-03T00:00:00,39.75,37.0,40.25,36.625,0
US67019U1016,2000-08-04T00:00:00,40.9375,39.75,41.125,39.75,0
US67019U1016,2000-08-07T00:00:00,39.5,41.25,41.25,38.75,0
US67019U1016,2000-08-08T00:00:00,38.5,38.75,38.75,38.5,0
US67019U1016,2000-08-09T00:00:00,38.375,38.5625,39.1875,38.375,0
US67019U1016,2000-08-10T00:00:00,36.75,38.375,38.5,36.625,0
US67019U1016,2000-08-11T00:00:00,37.375,36.75,37.9375,36.75,0
US67019U1016,2000-08-14T00:00:00,39.375,37.9375,39.4375,36.75,0
US67019U1016,2000-08-15T00:00:00,38.625,39.0,39.125,38.625,0
US67019U1016,2000-08-16T00:00:00,38.25,38.6875,38.8125,37.5625,0
US67019U1016,2000-08-17T00:00:00,38.25,38.0625,38.3125,37.875,0
US67019U1016,2000-08-18T00:00:00,37.875,38.25,38.375,37.875,0
US67019U1016,2000-08-21T00:00:00,38.0,37.875,38.0,37.75,0
US67019U1016,2000-08-22T00:00:00,37.375,38.0,38.0,37.375,0
US67019U1016,2000-08-23T00:00:00,35.75,37.125,37.3125,35.75,0
US67019U1016,2000-08-24T00:00:00,35.125,37.0625,37.29688,35.0,0
US67019U1016,2000-08-25T00:00:00,33.625,35.5,36.375,33.0,0
US67019U1016,2000-08-28T00:00:00,33.875,33.0625,34.0,32.6875,0
US67019U1016,2000-08-29T00:00:00,35.0,33.375,35.5625,33.375,0
US67019U1016,2000-08-30T00:00:00,34.4375,34.25,34.625,33.5,0
US67019U1016,2000-08-31T00:00:00,34.0,34.4375,34.4375,33.875,0
US67019U1016,2000-09-01T00:00:00,33.9375,33.625,34.25,33.375,0
US67019U1016,2000-09-05T00:00:00,33.375,33.375,33.875,32.0,0
US67019U1016,2000-09-06T00:00:00,34.1875,33.0,35.125,32.5,0
US67019U1016,2000-09-07T00:00:00,34.0625,33.75,34.0625,33.75,0
US67019U1016,2000-09-08T00:00:00,33.5,33.9375,33.9375,33.0,0
US67019U1016,2000-09-11T00:00:00,32.5,33.625,33.625,31.0,0
US67019U1016,2000-09-12T00:00:00,32.75,32.0,33.0,31.875,0
US67019U1016,2000-09-13T00:00:00,32.0,32.53125,32.9375,31.75,0
US67019U1016,2000-09-14T00:00:00,31.0,31.75,32.0,30.4375,0
US67019U1016,2000-09-15T00:00:00,29.8125,29.9375,31.0,29.5,0
US67019U1016,2000-09-18T00:00:00,28.875,29.84375,30.0,28.875,0
US67019U1016,2000-09-19T00:00:00,27.5,29.6875,29.6875,26.1875,0
US67019U1016,2000-09-20T00:00:00,26.75,26.125,27.5625,25.0,0
US67019U1016,2000-09-21T00:00:00,25.875,26.75,26.75,25.75,0
US67019U1016,2000-09-22T00:00:00,25.125,25.0,26.0,24.125,0
US67019U1016,2000-09-25T00:00:00,27.0,25.5,27.25,24.625,0
US67019U1016,2000-09-26T00:00:00,29.96875,27.25,29.96875,26.8125,0
US67019U1016,2000-09-27T00:00:00,29.25,29.0,29.25,28.25,0
US67019U1016,2000-09-28T00:00:00,29.375,29.25,29.8125,28.875,0
US67019U1016,2000-09-29T00:00:00,27.0,29.375,29.5,27.0,0
US67019U1016,2000-10-02T00:00:00,25.125,27.75,27.75,24.9375,0
US67019U1016,2000-10-03T00:00:00,26.5625,25.3125,27.1875,24.875,0
US67019U1016,2000-10-04T00:00:00,28.0,26.5,29.625,25.625,0
US67019U1016,2000-10-05T00:00:00,26.875,28.5,28.5,26.75,0
US67019U1016,2000-10-06T00:00:00,25.0,27.23438,27.23438,24.875,0
US67019U1016,2000-10-09T00:00:00,26.375,26.3125,26.75,25.8125,0
US67019U1016,2000-10-10T00:00:00,24.875,24.95313,28.25,23.25,0
US67019U1016,2000-10-11T00:00:00,23.9375,24.0,24.875,23.5,0
US67019U1016,2000-10-12T00:00:00,22.125,23.875,23.875,22.125,0
US67019U1016,2000-10-13T00:00:00,23.75,23.125,23.875,20.625,0
US67019U1016,2000-10-16T00:00:00,22.125,23.75,24.0,22.125,0
US67019U1016,2000-10-17T00:00:00,20.6875,22.125,23.0,19.5625,0
US67019U1016,2000-10-18T00:00:00,18.5,19.75,20.375,18.0625,0
US67019U1016,2000-10-19T00:00:00,18.875,19.04688,19.375,18.5,0
US67019U1016,2000-10-20T00:00:00,19.0,18.375,19.625,18.375,0
US67019U1016,2000-10-23T00:00:00,20.5,19.0,20.75,18.125,0
US67019U1016,2000-10-24T00:00:00,20.875,20.3125,21.25,20.3125,0
US67019U1016,2000-10-25T00:00:00,19.625,20.9375,21.5,19.625,0
US67019U1016,2000-10-26T00:00:00,20.0,21.0625,21.125,18.875,0
US67019U1016,2000-10-27T00:00:00,19.75,20.375,20.75,19.75,0
US67019U1016,2000-10-30T00:00:00,19.625,19.625,19.625,19.5625,0
US67019U1016,2000-10-31T00:00:00,19.875,18.375,20.375,18.125,0
US67019U1016,2000-11-01T00:00:00,20.0,20.125,20.125,19.5,0
US67019U1016,2000-11-02T00:00:00,20.75,20.0,21.1875,19.4375,0
US67019U1016,2000-11-03T00:00:00,20.25,20.75,20.75,20.0,0
US67019U1016,2000-11-06T00:00:00,20.25,20.0,20.25,19.25,0
US67019U1016,2000-11-07T00:00:00,20.25,20.48438,20.48438,19.75,0
US67019U1016,2000-11-08T00:00:00,20.75,19.75,21.0,19.75,0
US67019U1016,2000-11-09T00:00:00,20.0625,21.0,21.0625,19.6875,0
US67019U1016,2000-11-10T00:00:00,20.6875,20.54688,20.6875,19.75,0
US67019U1016,2000-11-13T00:00:00,19.73438,19.78125,19.875,19.375,0
US67019U1016,2000-11-14T00:00:00,19.6875,20.35938,20.5,19.6875,0
US67019U1016,2000-11-15T00:00:00,20.375,20.25,20.5,20.125,0
US67019U1016,2000-11-16T00:00:00,18.9375,20.375,20.375,18.375,0
US67019U1016,2000-11-17T00:00:00,18.625,19.0,19.0,18.25,0
US67019U1016,2000-11-20T00:00:00,18.625,18.5,18.625,18.5,0
US67019U1016,2000-11-21T00:00:00,18.5,18.5,18.75,17.9375,0
US67019U1016,2000-11-22T00:00:00,18.125,18.1875,18.75,18.125,0
US67019U1016,2000-11-24T00:00:00,18.75,18.125,18.75,18.125,0
