instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US71376C1009,1991-12-19T00:00:00,32.5,32.0,34.0,32.0,0
US71376C1009,1991-12-20T00:00:00,34.0,33.0,34.0,32.5,0
US71376C1009,1991-12-23T00:00:00,33.5,34.0,34.0,33.5,0
US71376C1009,1991-12-24T00:00:00,33.5,33.5,34.0,33.0,0
US71376C1009,1991-12-26T00:00:00,33.0,34.0,34.0,33.0,0
US71376C1009,1991-12-27T00:00:00,33.5,33.0,34.0,33.0,0
US71376C1009,1991-12-30T00:00:00,33.0,34.0,34.0,33.0,0
US71376C1009,1991-12-31T00:00:00,33.0,34.0,34.0,33.0,0
US71376C1009,1992-01-02T00:00:00,33.0,33.0,33.5,32.5,0
US71376C1009,1992-01-03T00:00:00,33.5,33.0,33.5,32.5,0
US71376C1009,1992-01-06T00:00:00,35.5,34.0,36.0,34.0,0
US71376C1009,1992-01-07T00:00:00,39.0,35.5,39.5,35.5,0
US71376C1009,1992-01-08T00:00:00,45.0,38.0,45.0,38.0,0
US71376C1009,1992-01-09T00:00:00,48.0,45.5,48.0,43.0,0
US71376C1009,1992-01-10T00:00:00,46.5,48.5,50.0,46.5,0
US71376C1009,1992-01-13T00:00:00,44.0,48.0,48.0,43.5,0
US71376C1009,1992-01-14T00:00:00,45.5,45.5,46.0,42.5,0
US71376C1009,1992-01-15T00:00:00,50.0,46.5,50.5,45.0,0
US71376C1009,1992-01-16T00:00:00,53.5,50.5,54.0,49.0,0
US71376C1009,1992-01-17T00:00:00,51.0,52.0,55.0,51.0,0
US71376C1009,1992-01-20T00:00:00,50.0,54.0,54.0,50.0,0
US71376C1009,1992-01-21T00:00:00,49.5,52.0,52.0,48.5,0
US71376C1009,1992-01-22T00:00:00,52.0,48.5,54.0,48.5,0
US71376C1009,1992-01-23T00:00:00,54.0,54.0,54.0,52.5,0
US71376C1009,1992-01-24T00:00:00,53.0,54.0,54.0,53.0,0
US71376C1009,1992-01-27T00:00:00,51.5,53.0,53.0,50.0,0
US71376C1009,1992-01-28T00:00:00,53.0,51.5,53.0,50.5,0
US71376C1009,1992-01-29T00:00:00,57.0,54.5,61.0,52.0,0
US71376C1009,1992-01-30T00:00:00,60.0,58.0,62.0,57.0,0
US71376C1009,1992-01-31T00:00:00,66.0,61.0,69.0,59.0,0
US71376C1009,1992-02-03T00:00:00,69.0,66.0,70.5,66.0,0
US71376C1009,1992-02-04T00:00:00,75.0,71.0,76.0,69.0,0
US71376C1009,1992-02-05T00:00:00,72.0,77.0,79.0,71.0,0
US71376C1009,1992-02-06T00:00:00,73.5,73.5,73.5,71.0,0
US71376C1009,1992-02-07T00:00:00,70.5,71.0,74.0,70.5,0
US71376C1009,1992-02-10T00:00:00,72.0,70.5,74.5,70.5,0
US71376C1009,1992-02-11T00:00:00,73.5,74.0,75.0,72.0,0
US71376C1009,1992-02-12T00:00:00,72.0,74.0,74.0,72.0,0
US71376C1009,1992-02-13T00:00:00,71.0,72.0,72.0,68.0,0
US71376C1009,1992-02-14T00:00:00,71.0,71.0,71.0,69.0,0
US71376C1009,1992-02-18T00:00:00,69.0,69.0,71.0,69.0,0
US71376C1009,1992-02-19T00:00:00,66.5,68.0,69.0,66.5,0
US71376C1009,1992-02-20T00:00:00,69.0,66.5,69.0,66.5,0
US71376C1009,1992-02-21T00:00:00,73.5,69.5,74.0,68.0,0
US71376C1009,1992-02-24T00:00:00,69.0,73.0,74.0,69.0,0
US71376C1009,1992-02-25T00:00:00,71.5,69.0,72.5,69.0,0
US71376C1009,1992-02-26T00:00:00,75.0,72.5,75.0,71.5,0
US71376C1009,1992-02-27T00:00:00,73.0,73.0,75.0,71.0,0
US71376C1009,1992-02-28T00:00:00,77.5,74.0,78.5,72.5,0
US71376C1009,1992-03-02T00:00:00,80.0,77.5,82.0,76.5,0
US71376C1009,1992-03-03T00:00:00,83.0,81.0,86.0,80.0,0
US71376C1009,1992-03-04T00:00:00,88.0,85.0,89.0,82.0,0
US71376C1009,1992-03-05T00:00:00,90.0,87.0,92.5,86.0,0
US71376C1009,1992-03-06T00:00:00,90.0,91.0,91.0,89.0,0
US71376C1009,1992-03-09T00:00:00,90.0,90.0,90.0,84.0,0
US71376C1009,1992-03-10T00:00:00,94.5,90.0,95.0,88.0,0
US71376C1009,1992-03-11T00:00:00,96.0,94.0,98.0,94.0,0
US71376C1009,1992-03-12T00:00:00,98.0,98.0,99.5,94.0,0
US71376C1009,1992-03-13T00:00:00,100.0,100.0,100.0,98.0,0
US71376C1009,1992-03-16T00:00:00,100.5,100.0,102.0,98.0,0
US71376C1009,1992-03-17T00:00:00,102.0,100.0,102.0,99.5,0
US71376C1009,1992-03-18T00:00:00,100.0,102.0,102.0,98.5,0
US71376C1009,1992-03-19T00:00:00,100.0,101.0,101.0,100.0,0
US71376C1009,1992-03-20T00:00:00,102.0,100.0,102.5,100.0,0
US71376C1009,1992-03-23T00:00:00,101.0,102.0,102.0,100.0,0
US71376C1009,1992-03-24T00:00:00,101.0,101.0,101.0,99.0,0
US71376C1009,1992-03-25T00:00:00,95.5,101.0,101.0,94.0,0
US71376C1009,1992-03-26T00:00:00,92.0,94.0,96.0,92.0,0
US71376C1009,1992-03-27T00:00:00,82.0,92.0,92.0,79.0,0
US71376C1009,1992-03-30T00:00:00,75.0,81.0,83.0,74.5,0
US71376C1009,1992-03-31T00:00:00,77.0,77.5,80.0,76.0,0
US71376C1009,1992-04-01T00:00:00,85.0,77.5,87.0,77.0,0
US71376C1009,1992-04-02T00:00:00,88.0,87.0,91.0,87.0,0
US71376C1009,1992-04-03T00:00:00,91.0,88.5,91.0,87.0,0
US71376C1009,1992-04-06T00:00:00,97.0,90.0,97.0,90.0,0
US71376C1009,1992-04-07T00:00:00,92.0,97.0,99.0,91.5,0
US71376C1009,1992-04-08T00:00:00,85.0,86.0,90.0,83.0,0
US71376C1009,1992-04-09T00:00:00,88.0,84.0,90.0,84.0,0
US71376C1009,1992-04-10T00:00:00,89.0,89.0,91.0,88.0,0
US71376C1009,1992-04-13T00:00:00,89.0,88.0,90.0,87.0,0
US71376C1009,1992-04-14T00:00:00,93.0,90.0,93.0,88.0,0
US71376C1009,1992-04-15T00:00:00,95.0,93.0,95.5,92.0,0
US71376C1009,1992-04-16T00:00:00,94.5,95.0,95.5,92.0,0
US71376C1009,1992-04-20T00:00:00,93.5,96.0,96.0,93.0,0
US71376C1009,1992-04-21T00:00:00,88.0,91.0,93.0,87.0,0
US71376C1009,1992-04-22T00:00:00,83.0,89.0,89.0,79.0,0
US71376C1009,1992-04-23T00:00:00,78.0,80.0,83.0,76.0,0
US71376C1009,1992-04-24T00:00:00,75.0,80.0,80.0,72.0,0
US71376C1009,1992-04-27T00:00:00,80.0,73.0,80.5,73.0,0
US71376C1009,1992-04-28T00:00:00,80.0,81.0,83.0,79.0,0
US71376C1009,1992-04-29T00:00:00,80.0,82.0,82.0,80.0,0
US71376C1009,1992-04-30T00:00:00,84.0,82.0,87.0,80.0,0
US71376C1009,1992-05-01T00:00:00,87.0,86.0,90.0,83.0,0
US71376C1009,1992-05-04T00:00:00,91.0,87.0,92.0,86.0,0
