instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US82967Y1047,2003-11-25T00:00:00,18.1,18.5,18.55,18.0,0
US82967Y1047,2003-11-26T00:00:00,18.05,18.1,18.15,18.0,0
US82967Y1047,2003-11-28T00:00:00,18.05,18.03,18.12,18.03,0
US82967Y1047,2003-12-01T00:00:00,18.08,18.03,18.25,18.03,0
US82967Y1047,2003-12-02T00:00:00,18.0,18.1,18.1,18.0,0
US82967Y1047,2003-12-03T00:00:00,17.88,18.0,18.01,17.68,0
US82967Y1047,2003-12-04T00:00:00,18.3,17.83,18.4,17.83,0
US82967Y1047,2003-12-05T00:00:00,18.25,18.3,18.4,18.25,0
US82967Y1047,2003-12-08T00:00:00,18.25,18.4,18.45,18.25,0
US82967Y1047,2003-12-09T00:00:00,18.35,18.35,18.41,18.25,0
US82967Y1047,2003-12-10T00:00:00,17.98,18.3,18.3,17.95,0
US82967Y1047,2003-12-11T00:00:00,18.2,17.98,18.25,17.98,0
US82967Y1047,2003-12-12T00:00:00,18.2,18.2,18.2,17.8,0
US82967Y1047,2003-12-15T00:00:00,18.27,18.18,18.28,18.04,0
US82967Y1047,2003-12-16T00:00:00,18.29,18.28,18.33,18.2,0
US82967Y1047,2003-12-17T00:00:00,18.18,18.25,18.25,18.05,0
US82967Y1047,2003-12-18T00:00:00,18.34,18.18,18.35,18.0,0
US82967Y1047,2003-12-19T00:00:00,19.03,18.38,19.15,18.35,0
US82967Y1047,2003-12-22T00:00:00,19.45,18.95,19.45,18.87,0
US82967Y1047,2003-12-23T00:00:00,19.52,19.45,19.65,19.35,0
US82967Y1047,2003-12-24T00:00:00,19.53,19.4,19.69,19.37,0
US82967Y1047,2003-12-26T00:00:00,19.45,19.45,19.53,19.4,0
US82967Y1047,2003-12-29T00:00:00,19.5,19.23,19.5,19.23,0
US82967Y1047,2003-12-30T00:00:00,19.5,19.5,19.6,19.4,0
US82967Y1047,2003-12-31T00:00:00,19.54,19.5,19.6,19.48,0
US82967Y1047,2004-01-02T00:00:00,19.86,19.6,19.89,19.6,0
US82967Y1047,2004-01-05T00:00:00,20.35,20.0,20.35,19.95,0
US82967Y1047,2004-01-06T00:00:00,20.4,20.35,20.5,20.25,0
US82967Y1047,2004-01-07T00:00:00,20.45,20.35,20.45,20.1,0
US82967Y1047,2004-01-08T00:00:00,20.75,20.38,20.76,20.1,0
US82967Y1047,2004-01-09T00:00:00,20.57,20.7,20.76,20.45,0
US82967Y1047,2004-01-12T00:00:00,20.9,20.47,20.91,20.43,0
US82967Y1047,2004-01-13T00:00:00,21.2,20.9,21.75,20.9,0
US82967Y1047,2004-01-14T00:00:00,21.16,21.1,21.3,20.86,0
US82967Y1047,2004-01-15T00:00:00,21.75,21.26,21.82,21.0,0
US82967Y1047,2004-01-16T00:00:00,21.75,21.76,22.01,21.7,0
US82967Y1047,2004-01-20T00:00:00,21.4,21.7,21.7,21.3,0
US82967Y1047,2004-01-21T00:00:00,21.38,20.85,21.5,20.85,0
US82967Y1047,2004-01-22T00:00:00,21.45,21.48,21.51,21.25,0
US82967Y1047,2004-01-23T00:00:00,21.4,21.42,21.42,20.97,0
US82967Y1047,2004-01-26T00:00:00,21.35,21.45,21.5,21.15,0
US82967Y1047,2004-01-27T00:00:00,21.06,21.45,21.55,21.05,0
US82967Y1047,2004-01-28T00:00:00,20.9,21.05,21.17,20.9,0
US82967Y1047,2004-01-29T00:00:00,20.49,20.9,20.9,20.42,0
US82967Y1047,2004-01-30T00:00:00,20.96,20.49,21.15,20.36,0
US82967Y1047,2004-02-02T00:00:00,21.75,21.05,21.9,21.05,0
US82967Y1047,2004-02-03T00:00:00,21.9,21.75,22.3,21.75,0
US82967Y1047,2004-02-04T00:00:00,22.05,21.95,22.2,21.9,0
US82967Y1047,2004-02-05T00:00:00,22.1,22.05,22.2,22.0,0
US82967Y1047,2004-02-06T00:00:00,22.13,22.05,22.2,22.05,0
US82967Y1047,2004-02-09T00:00:00,22.12,22.15,22.18,22.02,0
US82967Y1047,2004-02-10T00:00:00,22.15,22.2,23.05,22.15,0
US82967Y1047,2004-02-11T00:00:00,21.88,22.2,22.3,21.88,0
US82967Y1047,2004-02-12T00:00:00,22.05,21.85,22.05,21.58,0
US82967Y1047,2004-02-13T00:00:00,22.14,22.05,22.2,22.05,0
US82967Y1047,2004-02-17T00:00:00,22.15,22.05,22.35,22.05,0
US82967Y1047,2004-02-18T00:00:00,22.57,22.16,22.7,22.15,0
US82967Y1047,2004-02-19T00:00:00,22.53,22.5,22.75,22.4,0
US82967Y1047,2004-02-20T00:00:00,22.25,22.5,22.51,22.01,0
US82967Y1047,2004-02-23T00:00:00,22.2,22.2,22.3,22.1,0
US82967Y1047,2004-02-24T00:00:00,22.36,22.2,22.4,22.2,0
US82967Y1047,2004-02-25T00:00:00,22.28,22.35,22.35,22.2,0
US82967Y1047,2004-02-26T00:00:00,22.5,22.25,22.5,22.2,0
US82967Y1047,2004-02-27T00:00:00,22.22,22.55,22.55,22.22,0
US82967Y1047,2004-03-01T00:00:00,22.0,22.17,22.18,22.0,0
US82967Y1047,2004-03-02T00:00:00,22.29,22.0,22.42,22.0,0
US82967Y1047,2004-03-03T00:00:00,22.9,22.29,22.95,22.29,0
US82967Y1047,2004-03-04T00:00:00,24.1,22.95,24.1,22.95,0
US82967Y1047,2004-03-05T00:00:00,24.0,24.1,24.45,23.45,0
US82967Y1047,2004-03-08T00:00:00,24.2,24.0,24.3,23.95,0
US82967Y1047,2004-03-09T00:00:00,24.2,24.08,24.2,24.02,0
US82967Y1047,2004-03-10T00:00:00,23.52,24.05,24.05,23.3,0
US82967Y1047,2004-03-11T00:00:00,23.83,23.6,24.4,23.58,0
US82967Y1047,2004-03-12T00:00:00,24.2,23.84,24.2,23.83,0
US82967Y1047,2004-03-15T00:00:00,24.06,24.2,24.5,24.05,0
US82967Y1047,2004-03-16T00:00:00,23.8,24.1,24.3,23.68,0
US82967Y1047,2004-03-17T00:00:00,24.06,23.9,24.2,23.9,0
US82967Y1047,2004-03-18T00:00:00,24.11,24.1,24.25,24.09,0
US82967Y1047,2004-03-19T00:00:00,24.1,24.15,24.15,24.05,0
US82967Y1047,2004-03-22T00:00:00,24.06,24.15,24.15,23.98,0
US82967Y1047,2004-03-23T00:00:00,23.8,24.03,24.03,23.71,0
US82967Y1047,2004-03-24T00:00:00,23.68,23.82,23.82,23.47,0
US82967Y1047,2004-03-25T00:00:00,24.2,23.6,24.28,23.6,0
US82967Y1047,2004-03-26T00:00:00,23.86,24.2,24.2,23.83,0
US82967Y1047,2004-03-29T00:00:00,24.14,23.9,24.15,23.76,0
US82967Y1047,2004-03-30T00:00:00,24.0,24.1,24.15,24.0,0
US82967Y1047,2004-03-31T00:00:00,24.12,24.05,24.17,23.76,0
US82967Y1047,2004-04-01T00:00:00,25.25,24.1,25.29,24.1,0
US82967Y1047,2004-04-02T00:00:00,25.37,25.35,25.5,25.0,0
US82967Y1047,2004-04-05T00:00:00,25.87,25.37,25.95,25.33,0
US82967Y1047,2004-04-06T00:00:00,24.93,25.77,25.78,24.92,0
US82967Y1047,2004-04-07T00:00:00,25.4,25.03,25.4,24.6,0
US82967Y1047,2004-04-08T00:00:00,25.34,25.55,25.8,25.22,0
