instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US87311M1027,1980-03-17T00:00:00,137.5,3.125,150.0,137.5,0
US87311M1027,1980-03-18T00:00:00,143.75,6.25,156.25,143.75,0
US87311M1027,1980-03-19T00:00:00,143.75,3.125,156.25,143.75,0
US87311M1027,1980-03-20T00:00:00,143.75,3.125,156.25,143.75,0
US87311M1027,1980-03-21T00:00:00,137.5,3.125,150.0,137.5,0
US87311M1027,1980-03-24T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-03-25T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-03-26T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-03-27T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-03-28T00:00:00,137.5,3.125,150.0,137.5,0
US87311M1027,1980-03-31T00:00:00,137.5,3.125,150.0,137.5,0
US87311M1027,1980-04-01T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-02T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-03T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-07T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-08T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-09T00:00:00,131.25,4.6875,143.75,131.25,0
US87311M1027,1980-04-10T00:00:00,131.25,4.6875,143.75,131.25,0
US87311M1027,1980-04-11T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-14T00:00:00,131.25,4.6875,143.75,131.25,0
US87311M1027,1980-04-15T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-16T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-17T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-18T00:00:00,131.25,3.125,143.75,131.25,0
US87311M1027,1980-04-21T00:00:00,125.0,3.125,137.5,125.0,0
US87311M1027,1980-04-22T00:00:00,125.0,3.125,137.5,125.0,0
US87311M1027,1980-04-23T00:00:00,112.5,3.125,125.0,112.5,0
US87311M1027,1980-04-24T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-04-25T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-04-28T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-04-29T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-04-30T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-01T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-02T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-05T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-06T00:00:00,100.0,1.5625,112.5,100.0,0
US87311M1027,1980-05-07T00:00:00,100.0,1.5625,112.5,100.0,0
US87311M1027,1980-05-08T00:00:00,100.0,1.5625,112.5,100.0,0
US87311M1027,1980-05-09T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-12T00:00:00,93.75,3.125,106.25,93.75,0
US87311M1027,1980-05-13T00:00:00,93.75,3.125,106.25,93.75,0
US87311M1027,1980-05-14T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-05-15T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-05-16T00:00:00,93.75,3.125,106.25,93.75,0
US87311M1027,1980-05-19T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-20T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-21T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-22T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-23T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-27T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-28T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-29T00:00:00,100.0,3.125,112.5,100.0,0
US87311M1027,1980-05-30T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-06-02T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-06-03T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-06-04T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-06-05T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-06-06T00:00:00,93.75,1.5625,106.25,93.75,0
US87311M1027,1980-06-09T00:00:00,112.5,1.5625,125.0,112.5,0
US87311M1027,1980-06-10T00:00:00,131.25,1.5625,143.75,131.25,0
US87311M1027,1980-06-11T00:00:00,125.0,1.5625,137.5,125.0,0
US87311M1027,1980-06-12T00:00:00,131.25,1.5625,143.75,131.25,0
US87311M1027,1980-06-13T00:00:00,125.0,1.5625,137.5,125.0,0
US87311M1027,1980-06-16T00:00:00,125.0,1.5625,137.5,125.0,0
US87311M1027,1980-06-17T00:00:00,143.75,1.5625,156.25,143.75,0
US87311M1027,1980-06-18T00:00:00,143.75,1.5625,156.25,143.75,0
US87311M1027,1980-06-19T00:00:00,143.75,1.5625,156.25,143.75,0
US87311M1027,1980-06-20T00:00:00,143.75,1.5625,156.25,143.75,0
US87311M1027,1980-06-23T00:00:00,143.75,1.5625,156.25,143.75,0
US87311M1027,1980-06-24T00:00:00,143.75,1.5625,156.25,143.75,0
US87311M1027,1980-06-25T00:00:00,150.0,1.5625,162.5,150.0,0
US87311M1027,1980-06-26T00:00:00,150.0,1.5625,162.5,150.0,0
US87311M1027,1980-06-27T00:00:00,150.0,3.125,162.5,150.0,0
US87311M1027,1980-06-30T00:00:00,143.75,3.125,156.25,143.75,0
US87311M1027,1980-07-01T00:00:00,143.75,3.125,156.25,143.75,0
US87311M1027,1980-07-02T00:00:00,143.75,3.125,156.25,143.75,0
US87311M1027,1980-07-03T00:00:00,143.75,3.125,156.25,143.75,0
US87311M1027,1980-07-07T00:00:00,150.0,3.125,156.25,150.0,0
US87311M1027,1980-07-08T00:00:00,150.0,3.125,156.25,150.0,0
US87311M1027,1980-07-09T00:00:00,150.0,3.125,156.25,150.0,0
US87311M1027,1980-07-10T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-11T00:00:00,150.0,3.125,156.25,150.0,0
US87311M1027,1980-07-14T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-15T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-16T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-17T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-18T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-21T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-22T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-23T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-24T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-25T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-28T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-29T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-30T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-07-31T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-08-01T00:00:00,150.0,1.5625,156.25,150.0,0
US87311M1027,1980-08-04T00:00:00,162.5,3.125,168.75,162.5,0
US87311M1027,1980-08-05T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-06T00:00:00,181.25,3.125,187.5,181.25,0
US87311M1027,1980-08-07T00:00:00,175.0,3.125,181.25,175.0,0
US87311M1027,1980-08-08T00:00:00,181.25,3.125,187.5,181.25,0
US87311M1027,1980-08-11T00:00:00,187.5,3.125,193.75,187.5,0
US87311M1027,1980-08-12T00:00:00,181.25,3.125,187.5,181.25,0
US87311M1027,1980-08-13T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-14T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-15T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-18T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-19T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-20T00:00:00,168.75,3.125,175.0,168.75,0
US87311M1027,1980-08-21T00:00:00,175.0,3.125,181.25,175.0,0
US87311M1027,1980-08-22T00:00:00,187.5,3.125,193.75,187.5,0
US87311M1027,1980-08-25T00:00:00,187.5,3.125,193.75,187.5,0
US87311M1027,1980-08-26T00:00:00,218.75,3.125,225.0,218.75,0
US87311M1027,1980-08-27T00:00:00,218.75,3.125,218.75,218.75,0
US87311M1027,1980-08-28T00:00:00,206.25,3.125,212.5,206.25,0
US87311M1027,1980-08-29T00:00:00,212.5,3.125,212.5,212.5,0
US87311M1027,1980-09-02T00:00:00,218.75,3.125,225.0,218.75,0
US87311M1027,1980-09-03T00:00:00,218.75,3.125,225.0,218.75,0
US87311M1027,1980-09-04T00:00:00,218.75,3.125,225.0,218.75,0
US87311M1027,1980-09-05T00:00:00,212.5,3.125,218.75,212.5,0
US87311M1027,1980-09-08T00:00:00,212.5,3.125,218.75,212.5,0
US87311M1027,1980-09-09T00:00:00,212.5,1.5625,218.75,212.5,0
US87311M1027,1980-09-10T00:00:00,218.75,1.5625,225.0,218.75,0
US87311M1027,1980-09-11T00:00:00,237.5,1.5625,243.75,237.5,0
US87311M1027,1980-09-12T00:00:00,268.75,1.5625,268.75,268.75,0
US87311M1027,1980-09-15T00:00:00,268.75,3.125,268.75,268.75,0
US87311M1027,1980-09-16T00:00:00,262.5,3.125,268.75,262.5,0
US87311M1027,1980-09-17T00:00:00,256.25,1.5625,262.5,256.25,0
US87311M1027,1980-09-18T00:00:00,243.75,1.5625,250.0,243.75,0
US87311M1027,1980-09-19T00:00:00,250.0,4.6875,250.0,250.0,0
US87311M1027,1980-09-22T00:00:00,243.75,1.5625,243.75,243.75,0
US87311M1027,1980-09-23T00:00:00,231.25,1.5625,237.5,231.25,0
US87311M1027,1980-09-24T00:00:00,231.25,1.5625,231.25,231.25,0
US87311M1027,1980-09-25T00:00:00,237.5,1.5625,237.5,237.5,0
US87311M1027,1980-09-26T00:00:00,231.25,3.125,237.5,231.25,0
US87311M1027,1980-09-29T00:00:00,225.0,1.5625,231.25,225.0,0
US87311M1027,1980-09-30T00:00:00,237.5,1.5625,237.5,237.5,0
US87311M1027,1980-10-01T00:00:00,256.25,3.125,256.25,256.25,0
US87311M1027,1980-10-02T00:00:00,243.75,3.125,250.0,243.75,0
US87311M1027,1980-10-03T00:00:00,250.0,3.125,256.25,250.0,0
US87311M1027,1980-10-06T00:00:00,250.0,3.125,256.25,250.0,0
US87311M1027,1980-10-07T00:00:00,237.5,3.125,243.75,237.5,0
US87311M1027,1980-10-08T00:00:00,237.5,3.125,243.75,237.5,0
US87311M1027,1980-10-09T00:00:00,237.5,3.125,243.75,237.5,0
US87311M1027,1980-10-10T00:00:00,243.75,3.125,243.75,243.75,0
US87311M1027,1980-10-13T00:00:00,250.0,3.125,250.0,250.0,0
US87311M1027,1980-10-14T00:00:00,250.0,3.125,250.0,250.0,0
US87311M1027,1980-10-15T00:00:00,256.25,3.125,256.25,256.25,0
US87311M1027,1980-10-16T00:00:00,256.25,3.125,256.25,256.25,0
US87311M1027,1980-10-17T00:00:00,250.0,4.6875,256.25,250.0,0
US87311M1027,1980-10-20T00:00:00,250.0,4.6875,256.25,250.0,0
US87311M1027,1980-10-21T00:00:00,237.5,3.125,243.75,237.5,0
US87311M1027,1980-10-22T00:00:00,237.5,3.125,243.75,237.5,0
US87311M1027,1980-10-23T00:00:00,231.25,4.6875,237.5,231.25,0
US87311M1027,1980-10-24T00:00:00,237.5,3.125,237.5,237.5,0
US87311M1027,1980-10-27T00:00:00,231.25,4.6875,237.5,231.25,0
US87311M1027,1980-10-28T00:00:00,225.0,4.6875,231.25,225.0,0
US87311M1027,1980-10-29T00:00:00,225.0,4.6875,231.25,225.0,0
US87311M1027,1980-10-30T00:00:00,218.75,4.6875,225.0,218.75,0
US87311M1027,1980-10-31T00:00:00,231.25,4.6875,237.5,231.25,0
US87311M1027,1980-11-03T00:00:00,231.25,3.125,237.5,231.25,0
US87311M1027,1980-11-05T00:00:00,237.5,4.6875,243.75,237.5,0
US87311M1027,1980-11-06T00:00:00,231.25,4.6875,237.5,231.25,0
