instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US89214A1025,2006-06-02T00:00:00,13.25,13.24,13.5,12.74,0
US89214A1025,2006-06-05T00:00:00,12.9,13.0,13.12,12.16,0
US89214A1025,2006-06-06T00:00:00,12.64,12.62,12.8,12.0,0
US89214A1025,2006-06-07T00:00:00,12.59,12.4,12.74,12.03,0
US89214A1025,2006-06-08T00:00:00,12.5,12.6,12.73,12.04,0
US89214A1025,2006-06-09T00:00:00,12.56,12.46,12.56,12.12,0
US89214A1025,2006-06-12T00:00:00,12.25,12.79,12.79,12.05,0
US89214A1025,2006-06-13T00:00:00,12.09,11.95,12.24,11.35,0
US89214A1025,2006-06-14T00:00:00,11.65,12.05,12.09,11.43,0
US89214A1025,2006-06-15T00:00:00,11.7,11.63,11.95,11.39,0
US89214A1025,2006-06-16T00:00:00,11.35,11.5,11.66,11.32,0
US89214A1025,2006-06-19T00:00:00,11.45,11.4,11.68,11.4,0
US89214A1025,2006-06-20T00:00:00,11.29,11.43,11.49,11.25,0
US89214A1025,2006-06-21T00:00:00,11.66,11.24,11.99,10.74,0
US89214A1025,2006-06-22T00:00:00,11.99,11.6,11.99,11.405,0
US89214A1025,2006-06-23T00:00:00,11.76,11.448,11.79,11.448,0
US89214A1025,2006-06-26T00:00:00,12.17,11.98,12.2,11.85,0
US89214A1025,2006-06-27T00:00:00,11.81,12.0,12.0,11.41,0
US89214A1025,2006-06-28T00:00:00,12.1,11.87,12.19,11.87,0
US89214A1025,2006-06-29T00:00:00,12.05,12.2,12.2,12.05,0
US89214A1025,2006-06-30T00:00:00,12.2,12.001,12.5,11.974,0
US89214A1025,2006-07-03T00:00:00,12.2,12.37,12.37,12.0,0
US89214A1025,2006-07-05T00:00:00,12.25,12.2,12.35,11.98,0
US89214A1025,2006-07-06T00:00:00,12.05,12.3,12.38,11.9095,0
US89214A1025,2006-07-07T00:00:00,12.3,12.0,12.45,11.3,0
US89214A1025,2006-07-10T00:00:00,12.2,12.366,12.4,12.08,0
US89214A1025,2006-07-11T00:00:00,12.2,12.07,12.25,11.72,0
US89214A1025,2006-07-12T00:00:00,12.2,12.45,12.45,11.99,0
US89214A1025,2006-07-13T00:00:00,12.0,12.07,12.25,11.3,0
US89214A1025,2006-07-14T00:00:00,11.81,11.6472,11.89,11.6,0
US89214A1025,2006-07-17T00:00:00,11.75,11.57,12.1,11.56,0
US89214A1025,2006-07-18T00:00:00,11.4,11.71,11.98,11.0,0
US89214A1025,2006-07-19T00:00:00,11.5,11.1,11.88,11.04,0
US89214A1025,2006-07-20T00:00:00,11.42,11.88,11.88,11.42,0
US89214A1025,2006-07-21T00:00:00,11.21,11.3216,11.78,11.2,0
US89214A1025,2006-07-24T00:00:00,11.14,11.31,11.68,11.11,0
US89214A1025,2006-07-25T00:00:00,11.22,11.0,11.3,11.0,0
US89214A1025,2006-07-26T00:00:00,11.14,11.2,11.24,11.052,0
US89214A1025,2006-07-27T00:00:00,11.13,11.2,11.3899,11.13,0
US89214A1025,2006-07-28T00:00:00,11.32,11.2,11.73,11.15,0
US89214A1025,2006-07-31T00:00:00,11.39,11.51,11.61,11.32,0
US89214A1025,2006-08-01T00:00:00,11.85,11.88,12.17,11.58,0
US89214A1025,2006-08-02T00:00:00,12.2,12.33,12.35,12.0,0
US89214A1025,2006-08-03T00:00:00,12.15,12.01,12.17,11.87,0
US89214A1025,2006-08-04T00:00:00,12.05,12.016,12.24,12.0,0
US89214A1025,2006-08-07T00:00:00,12.15,11.9,12.23,11.9,0
US89214A1025,2006-08-08T00:00:00,11.98,12.13,12.18,11.98,0
US89214A1025,2006-08-09T00:00:00,12.15,12.2,12.2,12.0,0
US89214A1025,2006-08-10T00:00:00,12.25,11.93,12.4,11.93,0
US89214A1025,2006-08-11T00:00:00,12.4,12.04,12.4,12.04,0
US89214A1025,2006-08-14T00:00:00,12.75,12.45,12.75,12.37,0
US89214A1025,2006-08-15T00:00:00,12.8,12.99,12.99,12.65,0
US89214A1025,2006-08-16T00:00:00,12.66,12.71,12.85,12.25,0
US89214A1025,2006-08-17T00:00:00,12.37,12.6028,12.75,12.3,0
US89214A1025,2006-08-18T00:00:00,12.72,12.4,12.75,12.4,0
US89214A1025,2006-08-21T00:00:00,12.79,12.67,12.79,12.6,0
US89214A1025,2006-08-22T00:00:00,12.72,12.75,12.8499,12.26,0
US89214A1025,2006-08-23T00:00:00,12.65,12.64,12.84,12.59,0
US89214A1025,2006-08-24T00:00:00,12.75,12.69,12.8,12.67,0
US89214A1025,2006-08-25T00:00:00,13.0,12.76,13.0,12.76,0
US89214A1025,2006-08-28T00:00:00,13.05,13.0,13.07,12.91,0
US89214A1025,2006-08-29T00:00:00,13.05,13.0,13.06,12.93,0
US89214A1025,2006-08-30T00:00:00,13.05,13.01,13.07,13.01,0
US89214A1025,2006-08-31T00:00:00,12.87,13.01,13.05,12.84,0
US89214A1025,2006-09-01T00:00:00,13.0,12.9,13.07,12.8,0
US89214A1025,2006-09-05T00:00:00,12.7,13.04,13.1,12.65,0
US89214A1025,2006-09-06T00:00:00,12.75,12.61,12.77,12.45,0
US89214A1025,2006-09-07T00:00:00,13.05,12.75,13.05,12.75,0
US89214A1025,2006-09-08T00:00:00,13.03,13.05,13.05,12.99,0
US89214A1025,2006-09-11T00:00:00,13.04,12.98,13.06,12.81,0
US89214A1025,2006-09-12T00:00:00,13.15,13.05,13.3,13.01,0
US89214A1025,2006-09-13T00:00:00,13.51,13.09,13.67,13.09,0
US89214A1025,2006-09-14T00:00:00,13.45,13.51,13.61,13.35,0
US89214A1025,2006-09-15T00:00:00,13.26,13.45,13.45,12.85,0
US89214A1025,2006-09-18T00:00:00,13.39,13.29,13.54,13.29,0
US89214A1025,2006-09-19T00:00:00,13.32,13.47,13.6,13.2,0
US89214A1025,2006-09-20T00:00:00,13.52,13.3,13.74,13.19,0
US89214A1025,2006-09-21T00:00:00,13.1,13.53,13.57,13.05,0
US89214A1025,2006-09-22T00:00:00,13.32,13.11,13.35,13.05,0
US89214A1025,2006-09-25T00:00:00,13.05,13.36,13.4,13.05,0
US89214A1025,2006-09-26T00:00:00,13.43,12.98,13.63,12.98,0
US89214A1025,2006-09-27T00:00:00,13.64,13.49,13.98,13.46,0
US89214A1025,2006-09-28T00:00:00,13.56,13.65,13.95,13.43,0
US89214A1025,2006-09-29T00:00:00,13.12,13.56,13.64,13.11,0
US89214A1025,2006-10-02T00:00:00,13.21,13.21,13.34,12.94,0
US89214A1025,2006-10-03T00:00:00,13.83,13.17,13.83,13.14,0
US89214A1025,2006-10-04T00:00:00,14.47,13.78,14.47,13.34,0
US89214A1025,2006-10-05T00:00:00,15.03,14.4,15.47,14.25,0
US89214A1025,2006-10-06T00:00:00,15.11,14.95,15.11,14.6,0
US89214A1025,2006-10-10T00:00:00,15.23,15.4,15.41,15.1,0
