instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US92205F1066,2007-10-24T00:00:00,18.94,19.0,19.4,18.5,0
US92205F1066,2007-10-25T00:00:00,19.0,19.0,19.0,18.55,0
US92205F1066,2007-10-26T00:00:00,19.02,19.15,19.15,18.81,0
US92205F1066,2007-10-29T00:00:00,18.99,19.05,19.05,18.86,0
US92205F1066,2007-10-30T00:00:00,18.85,19.05,19.05,18.75,0
US92205F1066,2007-10-31T00:00:00,18.65,18.81,18.81,18.5,0
US92205F1066,2007-11-01T00:00:00,18.26,18.5,18.55,18.25,0
US92205F1066,2007-11-02T00:00:00,18.49,18.25,18.5,18.0,0
US92205F1066,2007-11-05T00:00:00,18.74,18.7,18.74,18.39,0
US92205F1066,2007-11-06T00:00:00,18.3,18.25,18.45,18.25,0
US92205F1066,2007-11-07T00:00:00,18.19,18.25,18.4,18.15,0
US92205F1066,2007-11-08T00:00:00,18.05,18.3,18.3,18.0,0
US92205F1066,2007-11-09T00:00:00,18.98,18.0,18.98,17.75,0
US92205F1066,2007-11-13T00:00:00,16.25,17.8,18.02,15.83,0
US92205F1066,2007-11-14T00:00:00,16.1,16.09,17.1,15.8,0
US92205F1066,2007-11-15T00:00:00,15.95,16.1,16.2,15.71,0
US92205F1066,2007-11-16T00:00:00,15.92,15.5,16.3,15.31,0
US92205F1066,2007-11-19T00:00:00,15.37,15.87,15.9499,15.15,0
US92205F1066,2007-11-20T00:00:00,15.4,15.55,15.6,15.01,0
US92205F1066,2007-11-21T00:00:00,15.25,15.3,15.5,15.11,0
US92205F1066,2007-11-23T00:00:00,14.95,14.75,15.28,14.75,0
US92205F1066,2007-11-26T00:00:00,14.95,14.95,15.3,14.95,0
US92205F1066,2007-11-27T00:00:00,14.95,14.95,15.0588,14.85,0
US92205F1066,2007-11-28T00:00:00,15.2101,15.45,15.53,15.05,0
US92205F1066,2007-11-29T00:00:00,16.15,14.75,16.25,14.75,0
US92205F1066,2007-11-30T00:00:00,16.12,15.15,16.59,15.15,0
US92205F1066,2007-12-03T00:00:00,16.75,16.11,16.814,16.11,0
US92205F1066,2007-12-04T00:00:00,16.55,16.45,16.7399,16.4,0
US92205F1066,2007-12-05T00:00:00,16.45,16.75,16.7801,16.25,0
US92205F1066,2007-12-06T00:00:00,16.15,16.5,16.5,15.22,0
US92205F1066,2007-12-07T00:00:00,15.8,15.92,16.35,15.75,0
US92205F1066,2007-12-10T00:00:00,15.7,15.65,15.95,15.627,0
US92205F1066,2007-12-11T00:00:00,15.3,15.55,15.666,15.15,0
US92205F1066,2007-12-12T00:00:00,15.132,15.22,15.518,15.03,0
US92205F1066,2007-12-13T00:00:00,14.91,15.14,15.14,14.7,0
US92205F1066,2007-12-14T00:00:00,14.5404,14.75,15.07,14.35,0
US92205F1066,2007-12-17T00:00:00,14.5222,14.4,14.5999,14.24,0
US92205F1066,2007-12-18T00:00:00,14.4,14.52,14.6499,14.25,0
US92205F1066,2007-12-19T00:00:00,14.73,14.3,14.77,14.12,0
US92205F1066,2007-12-20T00:00:00,14.45,14.6,14.65,14.15,0
US92205F1066,2007-12-21T00:00:00,14.6,14.4,14.75,14.21,0
US92205F1066,2007-12-24T00:00:00,15.48,14.8,15.5,14.51,0
US92205F1066,2007-12-26T00:00:00,15.0201,15.5,15.57,14.9,0
