instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US92531L1089,2008-05-15T00:00:00,10.0,10.0,12.01,9.23,0
US92531L1089,2008-05-16T00:00:00,10.02,9.86,10.1,9.25,0
US92531L1089,2008-05-19T00:00:00,10.25,10.0,10.35,9.85,0
US92531L1089,2008-05-20T00:00:00,10.8,10.01,10.99,9.85,0
US92531L1089,2008-05-21T00:00:00,10.19,10.5,10.56,10.0,0
US92531L1089,2008-05-22T00:00:00,10.3,10.1,10.4,10.0,0
US92531L1089,2008-05-23T00:00:00,10.4,10.18,10.5,10.0,0
US92531L1089,2008-05-27T00:00:00,10.16,10.41,10.42,10.0,0
US92531L1089,2008-05-28T00:00:00,9.8,10.16,10.16,9.73,0
US92531L1089,2008-05-29T00:00:00,9.7,9.85,9.85,9.25,0
US92531L1089,2008-05-30T00:00:00,9.86,9.65,10.0,9.56,0
US92531L1089,2008-06-02T00:00:00,9.86,9.81,9.95,9.72,0
US92531L1089,2008-06-03T00:00:00,9.75,9.8,9.92,9.61,0
US92531L1089,2008-06-04T00:00:00,9.75,9.65,9.94,9.65,0
US92531L1089,2008-06-05T00:00:00,9.74,9.74,9.83,9.7,0
US92531L1089,2008-06-06T00:00:00,9.35,9.75,9.79,9.11,0
US92531L1089,2008-06-09T00:00:00,8.9,9.342,9.35,8.52,0
US92531L1089,2008-06-10T00:00:00,8.6,8.67,8.9,8.3,0
US92531L1089,2008-06-11T00:00:00,8.0,8.49,8.65,7.81,0
US92531L1089,2008-06-12T00:00:00,8.0,7.93,8.11,7.72,0
US92531L1089,2008-06-13T00:00:00,8.52,8.0,8.6,7.98,0
US92531L1089,2008-06-16T00:00:00,8.5,8.47,8.69,8.33,0
US92531L1089,2008-06-17T00:00:00,8.61,8.46,8.86,8.4,0
US92531L1089,2008-06-18T00:00:00,8.5,8.52,8.65,8.2,0
US92531L1089,2008-06-19T00:00:00,8.5,8.43,8.55,8.43,0
US92531L1089,2008-06-20T00:00:00,8.55,8.44,8.66,8.33,0
US92531L1089,2008-06-23T00:00:00,8.3,8.55,8.55,8.12,0
US92531L1089,2008-06-24T00:00:00,8.38,8.09,8.44,8.06,0
US92531L1089,2008-06-25T00:00:00,8.94,8.46,9.0,8.46,0
US92531L1089,2008-06-26T00:00:00,8.9,8.9,9.02,8.8,0
US92531L1089,2008-06-27T00:00:00,8.49,8.9,8.96,8.43,0
US92531L1089,2008-06-30T00:00:00,8.46,8.4,8.55,8.31,0
US92531L1089,2008-07-01T00:00:00,7.84,8.36,8.422,7.59,0
US92531L1089,2008-07-02T00:00:00,7.0,7.78,7.81,6.834,0
US92531L1089,2008-07-03T00:00:00,6.52,6.92,6.97,5.8,0
US92531L1089,2008-07-07T00:00:00,6.56,6.45,6.58,5.79,0
US92531L1089,2008-07-08T00:00:00,6.4,6.56,6.76,6.05,0
US92531L1089,2008-07-09T00:00:00,5.95,6.41,6.6,5.74,0
US92531L1089,2008-07-10T00:00:00,6.25,5.85,6.25,5.72,0
US92531L1089,2008-07-11T00:00:00,6.2,6.01,6.4,5.97,0
US92531L1089,2008-07-14T00:00:00,5.61,6.1,6.16,5.47,0
US92531L1089,2008-07-15T00:00:00,5.24,5.48,5.49,5.05,0
US92531L1089,2008-07-16T00:00:00,5.22,5.21,5.34,5.09,0
US92531L1089,2008-07-17T00:00:00,5.2,5.18,5.2525,5.04,0
US92531L1089,2008-07-18T00:00:00,5.37,5.15,5.46,5.07,0
