instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
US93964W4050,2014-05-14T00:00:00,180.54,189.0,189.0,175.5,0
US93964W4050,2014-05-15T00:00:00,187.83,180.54,189.0,180.54,0
US93964W4050,2014-05-16T00:00:00,179.82,186.75,186.75,175.59,0
US93964W4050,2014-05-19T00:00:00,183.06,180.0,184.5,178.38,0
US93964W4050,2014-05-20T00:00:00,184.95,184.5,185.85,183.06,0
US93964W4050,2014-05-21T00:00:00,185.58,184.5,189.0,183.51,0
US93964W4050,2014-05-22T00:00:00,188.91,185.67,191.07,184.41,0
US93964W4050,2014-05-23T00:00:00,191.34,189.0,191.34,188.01,0
US93964W4050,2014-05-27T00:00:00,188.73,191.25,191.7,187.65,0
US93964W4050,2014-05-28T00:00:00,189.27,189.0,193.41,181.26,0
US93964W4050,2014-05-29T00:00:00,185.4,185.85,187.29,180.0,0
US93964W4050,2014-05-30T00:00:00,179.01,182.79,183.15,175.68,0
US93964W4050,2014-06-02T00:00:00,178.2,177.57,180.72,173.25,0
US93964W4050,2014-06-03T00:00:00,179.1,176.58,181.71,175.32,0
US93964W4050,2014-06-04T00:00:00,171.81,176.22,177.75,169.2,0
US93964W4050,2014-06-05T00:00:00,171.63,166.68,172.89,166.68,0
US93964W4050,2014-06-06T00:00:00,172.98,169.2,174.24,168.39,0
US93964W4050,2014-06-09T00:00:00,172.89,171.63,173.52,170.64,0
US93964W4050,2014-06-10T00:00:00,173.79,172.08,174.42,171.0,0
US93964W4050,2014-06-11T00:00:00,173.16,171.81,173.7,171.27,0
US93964W4050,2014-06-12T00:00:00,172.17,171.99,173.16,170.1,0
US93964W4050,2014-06-13T00:00:00,172.44,171.18,172.89,170.19,0
US93964W4050,2014-06-16T00:00:00,174.15,171.9,175.14,171.81,0
US93964W4050,2014-06-17T00:00:00,176.85,174.87,178.29,173.88,0
US93964W4050,2014-06-18T00:00:00,177.48,175.95,178.92,175.95,0
US93964W4050,2014-06-19T00:00:00,176.58,178.47,178.515,175.23,0
US93964W4050,2014-06-20T00:00:00,172.26,176.76,177.3,172.17,0
US93964W4050,2014-06-23T00:00:00,173.7,174.24,174.6,172.08,0
US93964W4050,2014-06-24T00:00:00,172.44,172.8,173.9925,171.9,0
US93964W4050,2014-06-25T00:00:00,171.45,172.62,174.24,170.91,0
US93964W4050,2014-06-26T00:00:00,170.55,171.36,171.99,169.11,0
US93964W4050,2014-06-27T00:00:00,166.68,169.65,170.82,166.68,0
US93964W4050,2014-06-30T00:00:00,168.66,168.75,169.56,167.31,0
US93964W4050,2014-07-01T00:00:00,170.91,168.93,172.8,168.03,0
US93964W4050,2014-07-02T00:00:00,170.73,171.45,172.53,169.29,0
US93964W4050,2014-07-03T00:00:00,172.98,170.1,173.43,168.48,0
US93964W4050,2014-07-07T00:00:00,172.8,171.72,174.87,169.74,0
US93964W4050,2014-07-08T00:00:00,175.41,172.8,176.04,172.71,0
US93964W4050,2014-07-09T00:00:00,175.68,173.7,175.86,170.73,0
US93964W4050,2014-07-10T00:00:00,173.79,175.23,177.03,173.43,0
US93964W4050,2014-07-11T00:00:00,174.33,173.16,174.33,172.71,0
US93964W4050,2014-07-14T00:00:00,173.25,174.24,174.24,171.99,0
US93964W4050,2014-07-15T00:00:00,171.72,173.25,174.6,171.45,0
US93964W4050,2014-07-16T00:00:00,172.17,171.99,172.8,170.28,0
US93964W4050,2014-07-17T00:00:00,171.81,171.45,172.26,170.91,0
US93964W4050,2014-07-18T00:00:00,172.44,171.81,172.8,171.405,0
US93964W4050,2014-07-21T00:00:00,170.55,171.72,172.89,169.47,0
US93964W4050,2014-07-22T00:00:00,170.73,170.64,173.07,169.74,0
US93964W4050,2014-07-23T00:00:00,172.35,170.55,172.89,168.705,0
US93964W4050,2014-07-24T00:00:00,173.52,172.35,173.88,171.9,0
US93964W4050,2014-07-25T00:00:00,171.81,173.16,174.6,171.18,0
US93964W4050,2014-07-28T00:00:00,171.99,171.81,173.34,170.91,0
US93964W4050,2014-07-29T00:00:00,171.81,172.35,173.88,171.81,0
US93964W4050,2014-07-30T00:00:00,172.08,171.9,173.25,170.9136,0
US93964W4050,2014-07-31T00:00:00,170.01,171.54,172.17,169.74,0
US93964W4050,2014-08-01T00:00:00,170.55,170.28,172.98,168.48,0
US93964W4050,2014-08-04T00:00:00,169.29,170.55,170.775,168.39,0
US93964W4050,2014-08-05T00:00:00,166.95,169.02,169.56,166.23,0
US93964W4050,2014-08-06T00:00:00,167.13,166.86,168.84,166.5,0
US93964W4050,2014-08-07T00:00:00,167.4,167.13,170.01,166.23,0
US93964W4050,2014-08-08T00:00:00,170.91,168.39,171.27,166.77,0
US93964W4050,2014-08-11T00:00:00,172.71,170.46,174.6,169.56,0
US93964W4050,2014-08-12T00:00:00,172.62,172.98,174.24,171.9,0
US93964W4050,2014-08-13T00:00:00,171.81,173.7,176.49,171.36,0
US93964W4050,2014-08-14T00:00:00,173.25,171.18,175.095,170.73,0
US93964W4050,2014-08-15T00:00:00,174.24,173.52,174.78,171.63,0
US93964W4050,2014-08-18T00:00:00,176.13,175.05,176.265,173.97,0
US93964W4050,2014-08-19T00:00:00,176.67,176.04,177.21,175.95,0
US93964W4050,2014-08-20T00:00:00,177.03,176.49,177.39,174.87,0
US93964W4050,2014-08-21T00:00:00,176.4,176.58,176.85,174.06,0
US93964W4050,2014-08-22T00:00:00,174.51,175.86,177.66,174.24,0
US93964W4050,2014-08-25T00:00:00,173.07,173.16,174.33,171.54,0
US93964W4050,2014-08-26T00:00:00,175.5,172.8,176.58,172.53,0
US93964W4050,2014-08-27T00:00:00,173.79,175.14,176.04,173.34,0
US93964W4050,2014-08-28T00:00:00,175.32,173.25,176.13,173.25,0
US93964W4050,2014-08-29T00:00:00,175.68,175.86,177.48,174.195,0
US93964W4050,2014-09-02T00:00:00,175.95,175.41,177.03,174.69,0
US93964W4050,2014-09-03T00:00:00,176.04,176.04,176.76,175.077,0
