instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
KYG070211274,2014-01-17T00:00:00,294.0,279.0,296.1,277.5,0
KYG070211274,2014-01-21T00:00:00,301.5,302.7,303.24,294.0,0
KYG070211274,2014-01-22T00:00:00,304.5,303.0,307.5,300.0,0
KYG070211274,2014-01-23T00:00:00,301.8,301.5,303.36,292.8,0
KYG070211274,2014-01-24T00:00:00,286.2,305.7,306.0,270.3,0
KYG070211274,2014-01-27T00:00:00,278.1,295.2,295.2,275.4,0
KYG070211274,2014-01-28T00:00:00,271.2,277.5,291.3,264.0,0
KYG070211274,2014-01-29T00:00:00,268.8,270.0,270.6,256.5,0
KYG070211274,2014-01-30T00:00:00,264.3,270.9,270.9,263.4,0
KYG070211274,2014-01-31T00:00:00,266.4,258.0,270.0,257.7,0
KYG070211274,2014-02-03T00:00:00,261.9,269.1,271.5,257.13,0
KYG070211274,2014-02-04T00:00:00,256.2,260.4,261.3,249.9,0
KYG070211274,2014-02-05T00:00:00,253.8,250.8,255.0,246.3,0
KYG070211274,2014-02-06T00:00:00,254.4,251.703,259.2,246.9,0
KYG070211274,2014-02-07T00:00:00,255.6,258.0,258.0,253.2,0
KYG070211274,2014-02-10T00:00:00,271.2,264.0,275.4,255.0,0
KYG070211274,2014-02-11T00:00:00,278.7,267.0,279.0,261.0,0
KYG070211274,2014-02-12T00:00:00,279.0,276.9,283.2,265.8,0
KYG070211274,2014-02-13T00:00:00,284.7,279.0,284.7,276.003,0
KYG070211274,2014-02-14T00:00:00,284.1,282.0,286.35,277.5,0
KYG070211274,2014-02-18T00:00:00,278.7,282.0,286.5,276.0,0
KYG070211274,2014-02-19T00:00:00,283.8,277.5,288.0,272.1,0
KYG070211274,2014-02-20T00:00:00,280.5,285.0,287.7,278.1,0
KYG070211274,2014-02-21T00:00:00,283.8,280.5,286.5,279.0,0
KYG070211274,2014-02-24T00:00:00,296.7,284.1,300.0,284.1,0
KYG070211274,2014-02-25T00:00:00,298.5,298.2,298.5,285.6,0
KYG070211274,2014-02-26T00:00:00,285.6,300.0,300.0,283.2,0
KYG070211274,2014-02-27T00:00:00,280.5,284.7,294.0,277.8,0
KYG070211274,2014-02-28T00:00:00,285.6,280.8,289.8,275.4,0
KYG070211274,2014-03-03T00:00:00,283.8,284.7,286.2,270.6,0
KYG070211274,2014-03-04T00:00:00,285.6,285.0,288.0,277.5,0
KYG070211274,2014-03-05T00:00:00,284.7,285.0,286.65,282.0,0
KYG070211274,2014-03-06T00:00:00,286.2,284.7,287.1,282.6,0
KYG070211274,2014-03-07T00:00:00,290.4,285.0,294.0,285.0,0
KYG070211274,2014-03-10T00:00:00,285.0,289.5,289.5,282.6,0
KYG070211274,2014-03-11T00:00:00,268.5,285.0,285.0,263.1,0
KYG070211274,2014-03-12T00:00:00,267.0,270.0,273.9,262.5,0
KYG070211274,2014-03-13T00:00:00,231.3,264.0,266.1,229.5,0
KYG070211274,2014-03-14T00:00:00,217.8,237.3,237.3,207.3,0
KYG070211274,2014-03-17T00:00:00,238.5,225.0,240.0,217.8,0
KYG070211274,2014-03-18T00:00:00,249.9,234.0,250.5,233.4,0
