instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
BMG3921A1751,2004-01-22T00:00:00,35.15,35.66,36.25,34.25,0
BMG3921A1751,2004-01-23T00:00:00,32.0,35.45,35.54,31.89,0
BMG3921A1751,2004-01-26T00:00:00,33.21,32.15,33.7,32.05,0
BMG3921A1751,2004-01-27T00:00:00,33.0,33.21,33.5,32.9,0
BMG3921A1751,2004-01-28T00:00:00,31.78,33.0,33.0,31.43,0
BMG3921A1751,2004-01-29T00:00:00,31.12,31.7,32.12,30.08,0
BMG3921A1751,2004-01-30T00:00:00,30.46,31.17,31.17,29.8,0
BMG3921A1751,2004-02-02T00:00:00,30.1,30.42,30.76,29.75,0
BMG3921A1751,2004-02-03T00:00:00,30.32,30.07,30.91,29.75,0
BMG3921A1751,2004-02-04T00:00:00,29.29,30.299,30.669,29.13,0
BMG3921A1751,2004-02-05T00:00:00,27.0,29.18,29.5,26.22,0
BMG3921A1751,2004-02-06T00:00:00,27.549,27.2,27.92,26.82,0
BMG3921A1751,2004-02-09T00:00:00,28.44,27.57,30.04,27.5,0
BMG3921A1751,2004-02-10T00:00:00,28.05,28.5,28.8,27.95,0
BMG3921A1751,2004-02-11T00:00:00,29.26,28.249,29.83,26.82,0
BMG3921A1751,2004-02-12T00:00:00,31.13,29.26,31.73,29.26,0
BMG3921A1751,2004-02-13T00:00:00,31.41,31.12,31.85,31.0,0
BMG3921A1751,2004-02-17T00:00:00,31.29,31.37,31.58,30.32,0
BMG3921A1751,2004-02-18T00:00:00,30.55,31.21,31.5,30.5,0
BMG3921A1751,2004-02-19T00:00:00,30.01,30.579,30.58,29.98,0
BMG3921A1751,2004-02-20T00:00:00,30.29,30.0,30.29,29.73,0
BMG3921A1751,2004-02-23T00:00:00,28.5,30.29,30.3,28.29,0
BMG3921A1751,2004-02-24T00:00:00,26.74,28.45,28.45,26.69,0
BMG3921A1751,2004-02-25T00:00:00,26.52,26.75,27.35,26.31,0
BMG3921A1751,2004-02-26T00:00:00,27.14,26.7,27.5,26.55,0
BMG3921A1751,2004-02-27T00:00:00,27.0,27.12,27.39,26.9,0
BMG3921A1751,2004-03-01T00:00:00,26.95,27.0,27.19,26.95,0
BMG3921A1751,2004-03-02T00:00:00,27.42,27.0,27.42,26.2,0
BMG3921A1751,2004-03-03T00:00:00,27.3,27.26,27.8,27.17,0
BMG3921A1751,2004-03-04T00:00:00,28.4,27.19,29.14,27.11,0
BMG3921A1751,2004-03-05T00:00:00,29.75,28.67,29.97,28.24,0
BMG3921A1751,2004-03-08T00:00:00,29.33,29.6,30.2,27.86,0
BMG3921A1751,2004-03-09T00:00:00,28.81,29.43,29.979,28.65,0
BMG3921A1751,2004-03-10T00:00:00,17.82,25.22,25.34,17.33,0
BMG3921A1751,2004-03-11T00:00:00,17.0,17.5,18.73,16.64,0
BMG3921A1751,2004-03-12T00:00:00,16.35,17.22,17.45,16.29,0
BMG3921A1751,2004-03-15T00:00:00,14.75,16.299,16.3,14.65,0
BMG3921A1751,2004-03-16T00:00:00,14.47,14.9,15.25,14.35,0
BMG3921A1751,2004-03-17T00:00:00,15.44,14.8,15.44,14.16,0
BMG3921A1751,2004-03-18T00:00:00,15.08,15.21,15.5,14.75,0
BMG3921A1751,2004-03-19T00:00:00,13.85,15.22,15.37,13.77,0
BMG3921A1751,2004-03-22T00:00:00,15.63,14.83,16.11,14.5,0
BMG3921A1751,2004-03-23T00:00:00,16.57,16.59,17.23,16.2,0
BMG3921A1751,2004-03-24T00:00:00,16.28,16.5,16.93,15.55,0
BMG3921A1751,2004-03-25T00:00:00,16.37,16.35,16.74,15.5,0
BMG3921A1751,2004-03-26T00:00:00,17.11,16.469,17.14,16.415,0
BMG3921A1751,2004-03-29T00:00:00,18.14,17.22,18.8,17.2,0
BMG3921A1751,2004-03-30T00:00:00,20.65,19.01,20.7,18.51,0
BMG3921A1751,2004-03-31T00:00:00,20.0,21.49,21.6,19.58,0
BMG3921A1751,2004-04-01T00:00:00,20.24,20.04,20.97,19.81,0
BMG3921A1751,2004-04-02T00:00:00,20.44,20.299,20.91,19.62,0
BMG3921A1751,2004-04-05T00:00:00,20.0,20.32,20.45,19.84,0
BMG3921A1751,2004-04-06T00:00:00,19.91,19.999,20.32,19.76,0
BMG3921A1751,2004-04-07T00:00:00,19.79,20.02,20.06,19.13,0
BMG3921A1751,2004-04-08T00:00:00,19.7,19.98,20.0,19.69,0
BMG3921A1751,2004-04-12T00:00:00,19.78,19.75,19.8,19.55,0
BMG3921A1751,2004-04-13T00:00:00,19.86,19.86,20.0,19.7,0
BMG3921A1751,2004-04-14T00:00:00,19.82,19.901,20.0,19.16,0
BMG3921A1751,2004-04-15T00:00:00,19.0,19.885,20.089,18.5,0
BMG3921A1751,2004-04-16T00:00:00,19.0,18.961,19.0,18.39,0
BMG3921A1751,2004-04-19T00:00:00,17.251,18.9,19.0,16.9,0
BMG3921A1751,2004-04-20T00:00:00,17.43,17.25,17.759,16.8,0
BMG3921A1751,2004-04-21T00:00:00,17.5,17.42,17.73,17.23,0
BMG3921A1751,2004-04-22T00:00:00,18.17,17.51,18.17,17.49,0
BMG3921A1751,2004-04-23T00:00:00,18.12,18.2,18.35,17.83,0
BMG3921A1751,2004-04-26T00:00:00,18.2,18.32,18.4,17.91,0
BMG3921A1751,2004-04-27T00:00:00,13.2,12.0,16.1,10.75,0
BMG3921A1751,2004-04-28T00:00:00,10.49,12.8,12.84,9.91,0
BMG3921A1751,2004-04-29T00:00:00,10.0,10.66,10.9,9.13,0
BMG3921A1751,2004-04-30T00:00:00,7.149,9.99,10.07,6.4,0
BMG3921A1751,2004-05-03T00:00:00,7.3,7.16,7.65,5.7,0
BMG3921A1751,2004-05-04T00:00:00,7.93,7.25,8.19,7.09,0
BMG3921A1751,2004-05-05T00:00:00,8.3,7.91,8.45,7.91,0
BMG3921A1751,2004-05-06T00:00:00,8.8,8.3,9.5,7.7,0
BMG3921A1751,2004-05-07T00:00:00,8.8,8.76,8.85,7.82,0
BMG3921A1751,2004-05-10T00:00:00,9.0,8.64,9.135,8.3,0
BMG3921A1751,2004-05-11T00:00:00,9.38,9.08,9.58,8.77,0
BMG3921A1751,2004-05-12T00:00:00,10.7,9.52,10.904,9.42,0
BMG3921A1751,2004-05-13T00:00:00,11.8,10.92,12.1,10.85,0
BMG3921A1751,2004-05-14T00:00:00,13.169,11.92,13.299,11.87,0
BMG3921A1751,2004-05-17T00:00:00,13.04,13.75,13.79,12.31,0
BMG3921A1751,2004-05-18T00:00:00,12.4,13.05,13.2,12.3,0
BMG3921A1751,2004-05-19T00:00:00,11.15,12.75,12.8,11.15,0
BMG3921A1751,2004-05-20T00:00:00,13.99,11.42,14.83,11.4,0
BMG3921A1751,2004-05-21T00:00:00,13.03,13.49,13.8,12.85,0
BMG3921A1751,2004-05-24T00:00:00,14.06,13.09,14.12,13.08,0
BMG3921A1751,2004-05-25T00:00:00,14.82,14.0,15.0,13.75,0
BMG3921A1751,2004-05-26T00:00:00,17.67,14.73,18.5,14.57,0
BMG3921A1751,2004-05-27T00:00:00,17.95,18.09,19.0,17.651,0
BMG3921A1751,2004-05-28T00:00:00,17.5,17.75,17.78,16.699,0
BMG3921A1751,2004-06-01T00:00:00,16.49,17.36,18.12,16.33,0
BMG3921A1751,2004-06-02T00:00:00,16.15,16.76,16.9,15.56,0
BMG3921A1751,2004-06-03T00:00:00,15.65,16.15,16.28,15.28,0
BMG3921A1751,2004-06-04T00:00:00,14.65,15.8,15.85,14.15,0
BMG3921A1751,2004-06-07T00:00:00,14.65,14.53,15.31,14.46,0
BMG3921A1751,2004-06-08T00:00:00,14.25,14.42,14.55,14.01,0
BMG3921A1751,2004-06-09T00:00:00,13.85,14.4,14.4,13.54,0
BMG3921A1751,2004-06-10T00:00:00,13.07,14.24,14.24,12.6,0
