instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
KYG3930E1017,1997-06-10T00:00:00,32.0,32.75,32.75,30.5,0
KYG3930E1017,1997-06-11T00:00:00,32.5,32.0,32.5,31.75,0
KYG3930E1017,1997-06-12T00:00:00,31.875,32.375,32.375,31.25,0
KYG3930E1017,1997-06-13T00:00:00,31.625,31.5,31.875,31.5,0
KYG3930E1017,1997-06-16T00:00:00,31.0,31.25,31.5,31.0,0
KYG3930E1017,1997-06-17T00:00:00,31.875,31.125,32.125,31.125,0
KYG3930E1017,1997-06-18T00:00:00,33.0,31.875,33.375,31.875,0
KYG3930E1017,1997-06-19T00:00:00,33.0,33.125,33.875,33.0,0
KYG3930E1017,1997-06-20T00:00:00,31.75,33.75,33.75,31.5,0
KYG3930E1017,1997-06-23T00:00:00,31.625,31.875,32.25,31.125,0
KYG3930E1017,1997-06-24T00:00:00,32.25,31.5,32.5,31.5,0
KYG3930E1017,1997-06-25T00:00:00,32.25,32.25,32.375,32.125,0
KYG3930E1017,1997-06-26T00:00:00,32.875,32.5,33.375,32.25,0
KYG3930E1017,1997-06-27T00:00:00,33.5,33.0,33.875,33.0,0
KYG3930E1017,1997-06-30T00:00:00,34.0,33.375,34.5,33.375,0
KYG3930E1017,1997-07-01T00:00:00,33.875,33.875,34.125,33.5,0
KYG3930E1017,1997-07-02T00:00:00,36.25,34.125,36.25,33.875,0
KYG3930E1017,1997-07-03T00:00:00,37.25,36.25,37.25,35.75,0
KYG3930E1017,1997-07-07T00:00:00,37.0,37.25,38.125,36.875,0
KYG3930E1017,1997-07-08T00:00:00,36.5,37.125,37.25,36.125,0
KYG3930E1017,1997-07-09T00:00:00,38.25,38.0,38.75,37.25,0
KYG3930E1017,1997-07-10T00:00:00,39.0,39.0,39.75,37.625,0
KYG3930E1017,1997-07-11T00:00:00,39.625,39.75,40.125,39.3125,0
KYG3930E1017,1997-07-14T00:00:00,37.875,39.0,39.5,37.1875,0
KYG3930E1017,1997-07-15T00:00:00,37.5,38.125,38.375,36.75,0
KYG3930E1017,1997-07-16T00:00:00,39.125,38.0,39.125,38.0,0
KYG3930E1017,1997-07-17T00:00:00,40.0,39.875,40.0,38.6875,0
KYG3930E1017,1997-07-18T00:00:00,39.125,39.75,39.75,38.5,0
KYG3930E1017,1997-07-21T00:00:00,39.0,38.875,39.0,38.5625,0
KYG3930E1017,1997-07-22T00:00:00,39.375,38.625,39.6875,38.625,0
KYG3930E1017,1997-07-23T00:00:00,40.8125,39.9375,41.1875,39.4375,0
KYG3930E1017,1997-07-24T00:00:00,40.5,41.25,41.25,40.25,0
KYG3930E1017,1997-07-25T00:00:00,39.9375,40.75,40.75,39.625,0
KYG3930E1017,1997-07-28T00:00:00,39.375,39.8125,39.8125,38.875,0
KYG3930E1017,1997-07-29T00:00:00,41.375,39.0625,41.5,38.5,0
KYG3930E1017,1997-07-30T00:00:00,41.0,41.625,41.625,40.75,0
KYG3930E1017,1997-07-31T00:00:00,41.25,41.0,41.75,40.9375,0
KYG3930E1017,1997-08-01T00:00:00,42.375,41.5,42.875,41.0,0
KYG3930E1017,1997-08-04T00:00:00,43.0,42.5625,43.75,42.4375,0
KYG3930E1017,1997-08-05T00:00:00,44.6875,43.375,45.125,42.625,0
KYG3930E1017,1997-08-06T00:00:00,45.625,45.0,47.0,44.8125,0
KYG3930E1017,1997-08-07T00:00:00,45.75,46.25,46.5,45.5,0
KYG3930E1017,1997-08-08T00:00:00,43.5,44.25,44.625,41.75,0
KYG3930E1017,1997-08-11T00:00:00,43.25,43.75,44.25,42.8125,0
KYG3930E1017,1997-08-12T00:00:00,41.25,43.75,43.75,41.25,0
