instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
BMG3930H1043,2001-12-12T00:00:00,0.17,0.18,0.3,0.1,0
BMG3930H1043,2001-12-13T00:00:00,0.16,0.15,0.21,0.145,0
BMG3930H1043,2001-12-14T00:00:00,0.1599,0.17,0.21,0.15,0
BMG3930H1043,2001-12-17T00:00:00,0.15,0.155,0.165,0.15,0
BMG3930H1043,2001-12-18T00:00:00,0.13,0.15,0.155,0.125,0
BMG3930H1043,2001-12-19T00:00:00,0.115,0.125,0.135,0.1,0
BMG3930H1043,2001-12-20T00:00:00,0.14,0.12,0.14,0.101,0
BMG3930H1043,2001-12-21T00:00:00,0.17,0.145,0.17,0.14,0
BMG3930H1043,2001-12-24T00:00:00,0.165,0.17,0.18,0.155,0
BMG3930H1043,2001-12-26T00:00:00,0.18,0.16,0.185,0.15,0
BMG3930H1043,2001-12-27T00:00:00,0.175,0.185,0.19,0.17,0
BMG3930H1043,2001-12-28T00:00:00,0.174,0.175,0.18,0.16,0
BMG3930H1043,2001-12-31T00:00:00,0.162,0.17,0.175,0.16,0
BMG3930H1043,2002-01-02T00:00:00,0.17,0.165,0.175,0.162,0
BMG3930H1043,2002-01-03T00:00:00,0.165,0.165,0.17,0.16,0
BMG3930H1043,2002-01-04T00:00:00,0.13,0.16,0.17,0.105,0
BMG3930H1043,2002-01-07T00:00:00,0.14,0.12,0.145,0.12,0
BMG3930H1043,2002-01-08T00:00:00,0.13,0.15,0.15,0.125,0
BMG3930H1043,2002-01-09T00:00:00,0.15,0.125,0.15,0.125,0
BMG3930H1043,2002-01-10T00:00:00,0.14,0.14,0.15,0.14,0
BMG3930H1043,2002-01-11T00:00:00,0.145,0.14,0.15,0.14,0
BMG3930H1043,2002-01-14T00:00:00,0.14,0.14,0.145,0.13,0
BMG3930H1043,2002-01-15T00:00:00,0.14,0.14,0.145,0.13,0
BMG3930H1043,2002-01-16T00:00:00,0.13,0.14,0.145,0.13,0
BMG3930H1043,2002-01-17T00:00:00,0.139,0.13,0.14,0.13,0
BMG3930H1043,2002-01-18T00:00:00,0.138,0.135,0.15,0.13,0
BMG3930H1043,2002-01-22T00:00:00,0.13,0.138,0.145,0.122,0
BMG3930H1043,2002-01-23T00:00:00,0.14,0.13,0.14,0.125,0
BMG3930H1043,2002-01-24T00:00:00,0.145,0.135,0.15,0.135,0
BMG3930H1043,2002-01-25T00:00:00,0.15,0.145,0.155,0.145,0
BMG3930H1043,2002-01-28T00:00:00,0.145,0.15,0.155,0.14,0
BMG3930H1043,2002-01-29T00:00:00,0.14,0.145,0.15,0.136,0
BMG3930H1043,2002-01-30T00:00:00,0.14,0.135,0.149,0.135,0
BMG3930H1043,2002-01-31T00:00:00,0.14,0.14,0.15,0.137,0
BMG3930H1043,2002-02-01T00:00:00,0.14,0.14,0.15,0.14,0
BMG3930H1043,2002-02-04T00:00:00,0.142,0.143,0.155,0.14,0
BMG3930H1043,2002-02-05T00:00:00,0.15,0.142,0.155,0.14,0
BMG3930H1043,2002-02-06T00:00:00,0.145,0.147,0.152,0.145,0
BMG3930H1043,2002-02-07T00:00:00,0.152,0.148,0.155,0.145,0
BMG3930H1043,2002-02-08T00:00:00,0.141,0.15,0.15,0.141,0
BMG3930H1043,2002-02-11T00:00:00,0.15,0.141,0.152,0.141,0
BMG3930H1043,2002-02-12T00:00:00,0.141,0.141,0.152,0.141,0
BMG3930H1043,2002-02-13T00:00:00,0.14,0.145,0.145,0.14,0
BMG3930H1043,2002-02-14T00:00:00,0.142,0.14,0.144,0.137,0
BMG3930H1043,2002-02-15T00:00:00,0.131,0.137,0.14,0.131,0
