instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
BMG5760D1112,2005-12-21T00:00:00,130.0,131.1,132.5,129.5,0
BMG5760D1112,2005-12-22T00:00:00,130.5,131.4,131.4,130.0,0
BMG5760D1112,2005-12-23T00:00:00,133.5,131.5,134.5,131.3,0
BMG5760D1112,2005-12-27T00:00:00,130.1,137.4,137.4,130.0,0
BMG5760D1112,2005-12-28T00:00:00,130.0,133.5,133.5,130.0,0
BMG5760D1112,2005-12-29T00:00:00,130.2,130.7,130.7,130.0,0
BMG5760D1112,2005-12-30T00:00:00,130.1,130.0,130.3,130.0,0
BMG5760D1112,2006-01-03T00:00:00,130.1,130.5,130.6,130.1,0
BMG5760D1112,2006-01-04T00:00:00,130.5,131.0,131.0,130.1,0
BMG5760D1112,2006-01-05T00:00:00,130.5,130.9,131.0,130.0,0
BMG5760D1112,2006-01-06T00:00:00,130.0,130.0,130.3,130.0,0
BMG5760D1112,2006-01-09T00:00:00,130.0,130.0,130.3,129.7,0
BMG5760D1112,2006-01-10T00:00:00,130.0,130.3,130.3,129.7,0
BMG5760D1112,2006-01-11T00:00:00,130.0,130.0,130.1,130.0,0
BMG5760D1112,2006-01-12T00:00:00,130.0,130.0,130.1,129.9,0
BMG5760D1112,2006-01-13T00:00:00,130.1,130.2,130.2,130.0,0
BMG5760D1112,2006-01-17T00:00:00,130.0,130.0,130.1,129.3,0
BMG5760D1112,2006-01-18T00:00:00,127.2,129.0,129.0,126.1,0
BMG5760D1112,2006-01-19T00:00:00,130.1,126.0,130.1,126.0,0
BMG5760D1112,2006-01-20T00:00:00,130.0,131.0,131.9,130.0,0
BMG5760D1112,2006-01-23T00:00:00,129.9,130.9,130.9,128.1,0
BMG5760D1112,2006-01-24T00:00:00,131.9,128.2,131.9,128.2,0
BMG5760D1112,2006-01-25T00:00:00,134.0,131.0,134.0,130.5,0
BMG5760D1112,2006-01-26T00:00:00,138.4,133.3,146.8,131.31,0
BMG5760D1112,2006-01-27T00:00:00,135.5,137.5,137.5,134.0,0
BMG5760D1112,2006-01-30T00:00:00,139.1,136.2,140.1,132.7,0
BMG5760D1112,2006-01-31T00:00:00,142.5,140.5,149.6,140.3,0
BMG5760D1112,2006-02-01T00:00:00,144.2,149.9,150.0,142.6,0
BMG5760D1112,2006-02-02T00:00:00,143.2,144.1,147.5,141.0,0
BMG5760D1112,2006-02-03T00:00:00,145.4,141.0,148.3,140.3,0
BMG5760D1112,2006-02-06T00:00:00,150.0,144.9,153.5,141.0,0
BMG5760D1112,2006-02-07T00:00:00,148.0,150.1,150.1,146.2,0
BMG5760D1112,2006-02-08T00:00:00,146.7,150.4,150.4,146.3,0
BMG5760D1112,2006-02-09T00:00:00,143.9,146.3,147.0,143.3,0
BMG5760D1112,2006-02-10T00:00:00,143.6,146.4,146.4,143.0,0
BMG5760D1112,2006-02-13T00:00:00,144.0,142.401,145.08,142.4,0
BMG5760D1112,2006-02-14T00:00:00,142.6,146.4,146.4,142.0,0
BMG5760D1112,2006-02-15T00:00:00,143.7,151.9,151.9,141.5,0
BMG5760D1112,2006-02-16T00:00:00,141.4,146.56,146.9,137.24,0
BMG5760D1112,2006-02-17T00:00:00,143.2,138.6,143.2,138.6,0
BMG5760D1112,2006-02-21T00:00:00,141.0,147.3,147.3,139.0,0
BMG5760D1112,2006-02-22T00:00:00,141.199,142.4,142.4,139.0,0
BMG5760D1112,2006-02-23T00:00:00,141.0,142.3,142.5,139.9,0
BMG5760D1112,2006-02-24T00:00:00,139.9,140.0,140.0,137.0,0
BMG5760D1112,2006-02-27T00:00:00,136.5,135.6,138.7,135.6,0
BMG5760D1112,2006-02-28T00:00:00,135.999,135.5,137.4,135.0,0
BMG5760D1112,2006-03-01T00:00:00,137.5,135.9,137.5,134.0,0
BMG5760D1112,2006-03-02T00:00:00,136.7,134.001,138.499,134.0,0
BMG5760D1112,2006-03-03T00:00:00,135.1,137.4,137.4,134.1,0
BMG5760D1112,2006-03-06T00:00:00,127.2,137.5,138.4,123.9,0
BMG5760D1112,2006-03-07T00:00:00,127.0,130.5,131.2,125.0,0
BMG5760D1112,2006-03-08T00:00:00,127.0,127.1,132.9,125.0,0
BMG5760D1112,2006-03-09T00:00:00,124.8,126.9,127.9,124.6,0
BMG5760D1112,2006-03-10T00:00:00,125.1,126.1,127.5,124.28,0
BMG5760D1112,2006-03-13T00:00:00,125.4,125.0,126.8,125.0,0
BMG5760D1112,2006-03-14T00:00:00,126.0,126.0,130.7,126.0,0
BMG5760D1112,2006-03-15T00:00:00,126.9,127.0,128.3,125.2,0
BMG5760D1112,2006-03-16T00:00:00,125.3,132.7,132.8,125.3,0
BMG5760D1112,2006-03-17T00:00:00,124.9,125.501,127.1,124.7,0
BMG5760D1112,2006-03-20T00:00:00,125.0,124.6,127.4,122.2,0
BMG5760D1112,2006-03-21T00:00:00,124.655,125.7,129.2,124.655,0
BMG5760D1112,2006-03-22T00:00:00,121.8,124.0,124.8,120.7,0
BMG5760D1112,2006-03-23T00:00:00,119.6,120.0,122.5,119.1,0
BMG5760D1112,2006-03-24T00:00:00,125.0,121.2,126.9,121.0,0
BMG5760D1112,2006-03-27T00:00:00,121.8,124.0,124.2,115.0,0
BMG5760D1112,2006-03-28T00:00:00,120.3,122.0,122.5,118.5,0
BMG5760D1112,2006-03-29T00:00:00,118.7,120.0,122.5,118.7,0
BMG5760D1112,2006-03-30T00:00:00,115.8,116.5,119.1,111.9,0
BMG5760D1112,2006-03-31T00:00:00,114.5,117.0,119.5,111.5,0
BMG5760D1112,2006-04-03T00:00:00,114.0,115.0,119.7,112.3,0
BMG5760D1112,2006-04-04T00:00:00,115.0,111.6,116.1,111.6,0
BMG5760D1112,2006-04-05T00:00:00,116.6,119.0,119.0,114.0,0
BMG5760D1112,2006-04-06T00:00:00,116.0,117.0,118.599,115.0,0
BMG5760D1112,2006-04-07T00:00:00,116.9,116.4,117.5,115.0,0
BMG5760D1112,2006-04-10T00:00:00,115.0,116.2,116.2,114.0,0
BMG5760D1112,2006-04-11T00:00:00,115.2,114.0,115.2,111.1,0
BMG5760D1112,2006-04-12T00:00:00,112.0,115.8,115.8,111.6,0
BMG5760D1112,2006-04-13T00:00:00,112.2,114.0,119.6,112.2,0
BMG5760D1112,2006-04-17T00:00:00,114.0,116.75,116.75,112.5,0
BMG5760D1112,2006-04-18T00:00:00,115.3,114.0,115.3,113.6,0
BMG5760D1112,2006-04-19T00:00:00,112.6,114.0,114.5,112.5,0
BMG5760D1112,2006-04-20T00:00:00,111.5,114.0,114.0,111.5,0
BMG5760D1112,2006-04-21T00:00:00,107.5,113.0,113.0,105.6,0
BMG5760D1112,2006-04-24T00:00:00,104.0,105.6,108.56,103.1,0
BMG5760D1112,2006-04-25T00:00:00,101.3,107.4,107.4,101.1,0
BMG5760D1112,2006-04-26T00:00:00,101.8,100.7,103.1,98.1,0
BMG5760D1112,2006-04-27T00:00:00,104.8,102.0,110.0,100.2,0
BMG5760D1112,2006-04-28T00:00:00,106.1,103.0,108.9,100.0,0
BMG5760D1112,2006-05-01T00:00:00,106.1,106.0,106.3,101.0,0
BMG5760D1112,2006-05-02T00:00:00,106.9,106.5,108.0,106.0,0
BMG5760D1112,2006-05-03T00:00:00,106.0,107.4,108.1,104.7,0
BMG5760D1112,2006-05-04T00:00:00,105.5,108.2,109.6,105.0,0
BMG5760D1112,2006-05-05T00:00:00,106.5,108.5,108.5,105.1,0
BMG5760D1112,2006-05-08T00:00:00,111.7,105.8,114.7,105.8,0
BMG5760D1112,2006-05-09T00:00:00,104.3,113.1,113.1,103.2,0
BMG5760D1112,2006-05-10T00:00:00,103.2,102.3,105.0,101.0,0
BMG5760D1112,2006-05-11T00:00:00,106.0,105.0,106.0,104.5,0
BMG5760D1112,2006-05-12T00:00:00,106.5,104.7,107.0,102.5,0
BMG5760D1112,2006-05-15T00:00:00,105.0,104.5,107.4,102.5,0
BMG5760D1112,2006-05-16T00:00:00,112.3,105.0,112.3,101.8,0
BMG5760D1112,2006-05-17T00:00:00,108.1,105.9,109.1,105.9,0
BMG5760D1112,2006-05-18T00:00:00,110.0,108.6,110.5,108.6,0
BMG5760D1112,2006-05-19T00:00:00,111.6,110.0,113.3,110.0,0
BMG5760D1112,2006-05-22T00:00:00,107.8,110.001,110.001,105.0,0
BMG5760D1112,2006-05-23T00:00:00,105.0,106.5,106.5,104.6,0
BMG5760D1112,2006-05-24T00:00:00,101.0,105.0,105.4,99.5,0
BMG5760D1112,2006-05-25T00:00:00,102.611,102.6,102.611,100.7,0
BMG5760D1112,2006-05-26T00:00:00,103.5,101.5,105.0,101.4,0
BMG5760D1112,2006-05-30T00:00:00,102.5,102.0,103.5,102.0,0
BMG5760D1112,2006-05-31T00:00:00,104.4,103.8,104.4,102.7,0
BMG5760D1112,2006-06-01T00:00:00,108.8,103.5,109.0,103.5,0
BMG5760D1112,2006-06-02T00:00:00,109.7,108.9,110.1,108.8,0
BMG5760D1112,2006-06-05T00:00:00,108.0,110.0,110.0,108.0,0
BMG5760D1112,2006-06-06T00:00:00,105.0,109.9,110.0,103.3,0
BMG5760D1112,2006-06-07T00:00:00,105.9,104.0,107.4,104.0,0
BMG5760D1112,2006-06-08T00:00:00,106.4,103.6,108.5,103.6,0
BMG5760D1112,2006-06-09T00:00:00,111.5,107.8,114.0,107.8,0
