instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
IE00BBGT3753,2019-04-24T00:00:00,16.0,16.0,16.0,16.0,0
IE00BBGT3753,2019-04-25T00:00:00,16.2,16.2,16.2,16.2,0
IE00BBGT3753,2019-04-26T00:00:00,16.4,16.4,16.4,16.4,0
IE00BBGT3753,2019-04-29T00:00:00,16.4,16.4,16.4,16.4,0
IE00BBGT3753,2019-04-30T00:00:00,16.4,16.4,16.4,16.4,0
IE00BBGT3753,2019-05-02T00:00:00,13.8,13.8,13.8,13.8,0
IE00BBGT3753,2019-05-03T00:00:00,14.0,14.0,14.0,14.0,0
IE00BBGT3753,2019-05-06T00:00:00,14.2,14.2,14.2,14.2,0
IE00BBGT3753,2019-05-07T00:00:00,14.6,14.6,14.6,14.6,0
IE00BBGT3753,2019-05-08T00:00:00,14.9,14.5,15.4,14.5,0
IE00BBGT3753,2019-05-09T00:00:00,15.1,15.1,15.1,15.1,0
IE00BBGT3753,2019-05-10T00:00:00,14.7,14.7,14.7,14.7,0
IE00BBGT3753,2019-05-13T00:00:00,14.6,14.6,14.6,14.6,0
IE00BBGT3753,2019-05-14T00:00:00,13.5,13.5,13.5,13.5,0
IE00BBGT3753,2019-05-15T00:00:00,13.5,13.6,13.6,13.5,0
IE00BBGT3753,2019-05-16T00:00:00,13.5,13.5,13.5,13.5,0
IE00BBGT3753,2019-05-17T00:00:00,13.5,13.5,13.5,13.5,0
IE00BBGT3753,2019-05-20T00:00:00,13.2,13.2,13.2,13.2,0
IE00BBGT3753,2019-05-21T00:00:00,8.65,11.8,11.8,8.05,0
IE00BBGT3753,2019-05-22T00:00:00,8.7,8.7,8.7,8.7,0
IE00BBGT3753,2019-05-23T00:00:00,8.35,8.35,8.35,8.35,0
IE00BBGT3753,2019-05-24T00:00:00,8.15,8.15,8.15,8.15,0
IE00BBGT3753,2019-05-27T00:00:00,8.45,8.45,8.45,8.45,0
IE00BBGT3753,2019-05-28T00:00:00,8.6,8.6,8.6,8.6,0
IE00BBGT3753,2019-05-29T00:00:00,8.25,8.25,8.25,8.25,0
IE00BBGT3753,2019-05-30T00:00:00,8.3,8.3,8.3,8.3,0
IE00BBGT3753,2019-05-31T00:00:00,8.2,8.2,8.2,8.2,0
IE00BBGT3753,2019-06-03T00:00:00,7.85,7.85,8.1,7.85,0
IE00BBGT3753,2019-06-04T00:00:00,8.35,7.95,8.35,7.9,0
IE00BBGT3753,2019-06-05T00:00:00,8.35,8.5,8.55,8.35,0
IE00BBGT3753,2019-06-06T00:00:00,7.65,7.95,8.2,7.65,0
IE00BBGT3753,2019-06-07T00:00:00,7.95,7.9,7.95,7.8,0
IE00BBGT3753,2019-06-11T00:00:00,8.55,8.3,8.6,8.3,0
IE00BBGT3753,2019-06-12T00:00:00,8.2,8.5,8.5,8.2,0
IE00BBGT3753,2019-06-13T00:00:00,8.55,8.2,8.55,8.199,0
IE00BBGT3753,2019-06-14T00:00:00,8.5,8.6,8.7,8.5,0
IE00BBGT3753,2019-06-17T00:00:00,8.099,8.35,8.5,8.099,0
IE00BBGT3753,2019-06-18T00:00:00,8.45,8.1,8.45,8.1,0
IE00BBGT3753,2019-06-19T00:00:00,8.5,8.45,8.5,8.449,0
IE00BBGT3753,2019-06-20T00:00:00,8.4,8.4,8.45,8.4,0
IE00BBGT3753,2019-06-21T00:00:00,8.15,8.4,8.4,8.1,0
IE00BBGT3753,2019-06-24T00:00:00,7.499,8.0,8.0,7.499,0
IE00BBGT3753,2019-06-25T00:00:00,7.6,7.5,7.6,7.45,0
IE00BBGT3753,2019-06-26T00:00:00,7.45,7.5,7.6,7.4,0
IE00BBGT3753,2019-06-27T00:00:00,7.65,7.45,7.65,7.45,0
IE00BBGT3753,2019-06-28T00:00:00,7.95,7.8,7.95,7.8,0
IE00BBGT3753,2019-07-01T00:00:00,8.05,8.0,8.25,7.95,0
IE00BBGT3753,2019-07-02T00:00:00,8.0,8.05,8.05,8.0,0
IE00BBGT3753,2019-07-03T00:00:00,8.0,8.0,8.0,8.0,0
IE00BBGT3753,2019-07-04T00:00:00,8.0,8.0,8.0,8.0,0
IE00BBGT3753,2019-07-05T00:00:00,7.95,8.0,8.05,7.95,0
IE00BBGT3753,2019-07-08T00:00:00,7.6,7.8,7.8,7.6,0
IE00BBGT3753,2019-07-09T00:00:00,7.5,7.55,7.55,7.5,0
IE00BBGT3753,2019-07-10T00:00:00,7.65,7.6,7.7,7.6,0
