instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
IE00B5VT5X83,2005-06-24T00:00:00,10.05,10.0,10.18,10.0,0
IE00B5VT5X83,2005-06-27T00:00:00,10.0,10.0,10.07,10.0,0
IE00B5VT5X83,2005-06-28T00:00:00,10.0,10.0,10.12,10.0,0
IE00B5VT5X83,2005-06-29T00:00:00,10.07,10.0,10.08,10.0,0
IE00B5VT5X83,2005-06-30T00:00:00,10.15,10.0,10.15,10.0,0
IE00B5VT5X83,2005-07-01T00:00:00,10.14,10.15,10.18,10.0,0
IE00B5VT5X83,2005-07-05T00:00:00,10.1,10.08,10.18,10.01,0
IE00B5VT5X83,2005-07-06T00:00:00,10.1,10.04,10.12,10.04,0
IE00B5VT5X83,2005-07-07T00:00:00,10.1,10.05,10.29,10.05,0
IE00B5VT5X83,2005-07-08T00:00:00,10.13,10.23,10.25,10.1,0
IE00B5VT5X83,2005-07-11T00:00:00,10.13,10.25,10.25,10.05,0
IE00B5VT5X83,2005-07-12T00:00:00,10.14,10.2,10.25,10.13,0
IE00B5VT5X83,2005-07-13T00:00:00,10.2,10.13,10.39,10.13,0
IE00B5VT5X83,2005-07-14T00:00:00,10.25,10.4,10.4,10.2,0
IE00B5VT5X83,2005-07-15T00:00:00,10.2,10.2,10.3,10.05,0
IE00B5VT5X83,2005-07-18T00:00:00,10.1,10.4,10.4,10.06,0
IE00B5VT5X83,2005-07-19T00:00:00,10.1,10.15,10.2,10.05,0
IE00B5VT5X83,2005-07-20T00:00:00,10.15,10.1,10.2,10.05,0
IE00B5VT5X83,2005-07-21T00:00:00,10.18,10.15,10.3,10.1,0
IE00B5VT5X83,2005-07-22T00:00:00,10.2,10.2,10.29,10.02,0
IE00B5VT5X83,2005-07-25T00:00:00,10.11,10.14,10.2,10.1,0
IE00B5VT5X83,2005-07-26T00:00:00,10.06,10.1,10.14,9.21,0
IE00B5VT5X83,2005-07-27T00:00:00,10.05,10.0,10.15,9.95,0
IE00B5VT5X83,2005-07-28T00:00:00,10.16,10.05,10.32,10.0,0
IE00B5VT5X83,2005-07-29T00:00:00,10.34,10.15,10.34,10.11,0
IE00B5VT5X83,2005-08-01T00:00:00,10.78,10.06,10.85,10.06,0
IE00B5VT5X83,2005-08-02T00:00:00,10.83,10.72,11.05,10.33,0
IE00B5VT5X83,2005-08-03T00:00:00,10.66,10.87,11.05,10.35,0
IE00B5VT5X83,2005-08-04T00:00:00,11.96,10.95,12.0,10.95,0
IE00B5VT5X83,2005-08-05T00:00:00,12.25,12.0,12.5,11.65,0
IE00B5VT5X83,2005-08-08T00:00:00,12.25,12.08,12.55,11.94,0
IE00B5VT5X83,2005-08-09T00:00:00,12.0,12.25,12.35,11.84,0
IE00B5VT5X83,2005-08-10T00:00:00,12.25,12.0,12.5,11.9,0
IE00B5VT5X83,2005-08-11T00:00:00,12.27,11.85,12.94,11.85,0
IE00B5VT5X83,2005-08-12T00:00:00,11.6,12.21,12.5,11.1,0
IE00B5VT5X83,2005-08-15T00:00:00,11.74,11.93,11.93,11.6199,0
IE00B5VT5X83,2005-08-16T00:00:00,11.71,11.87,11.99,11.61,0
IE00B5VT5X83,2005-08-17T00:00:00,11.88,11.7,12.0,11.56,0
IE00B5VT5X83,2005-08-18T00:00:00,11.65,12.17,12.17,11.6,0
IE00B5VT5X83,2005-08-19T00:00:00,11.56,11.47,11.88,11.47,0
IE00B5VT5X83,2005-08-22T00:00:00,11.87,11.88,12.27,11.67,0
IE00B5VT5X83,2005-08-23T00:00:00,12.0,12.25,12.25,11.91,0
IE00B5VT5X83,2005-08-24T00:00:00,12.05,12.0,12.25,11.84,0
IE00B5VT5X83,2005-08-25T00:00:00,12.02,12.0,12.1,11.93,0
IE00B5VT5X83,2005-08-26T00:00:00,11.97,12.1,12.1,11.97,0
IE00B5VT5X83,2005-08-29T00:00:00,11.9,12.0,12.0,11.71,0
IE00B5VT5X83,2005-08-30T00:00:00,11.74,11.78,12.3,11.67,0
IE00B5VT5X83,2005-08-31T00:00:00,12.0,12.32,12.32,11.84,0
IE00B5VT5X83,2005-09-01T00:00:00,12.05,12.19,12.25,11.81,0
IE00B5VT5X83,2005-09-02T00:00:00,11.95,12.1,12.15,11.88,0
IE00B5VT5X83,2005-09-06T00:00:00,11.58,11.92,12.25,11.56,0
IE00B5VT5X83,2005-09-07T00:00:00,11.81,11.87,12.0,11.52,0
IE00B5VT5X83,2005-09-08T00:00:00,11.92,11.86,12.0,11.68,0
IE00B5VT5X83,2005-09-09T00:00:00,12.2,11.92,12.2,11.86,0
IE00B5VT5X83,2005-09-12T00:00:00,12.04,12.3,12.3,11.3,0
IE00B5VT5X83,2005-09-13T00:00:00,12.04,12.0,12.38,11.81,0
IE00B5VT5X83,2005-09-14T00:00:00,12.07,12.11,12.25,12.0,0
IE00B5VT5X83,2005-09-15T00:00:00,12.0,12.04,12.1,11.76,0
IE00B5VT5X83,2005-09-16T00:00:00,12.0,11.92,12.3,11.92,0
IE00B5VT5X83,2005-09-19T00:00:00,11.74,11.93,12.05,11.74,0
IE00B5VT5X83,2005-09-20T00:00:00,11.56,11.64,11.79,11.46,0
IE00B5VT5X83,2005-09-21T00:00:00,10.9,11.45,11.68,10.35,0
IE00B5VT5X83,2005-09-22T00:00:00,10.85,10.72,11.05,10.56,0
IE00B5VT5X83,2005-09-23T00:00:00,10.78,10.9,11.0,10.61,0
IE00B5VT5X83,2005-09-26T00:00:00,10.36,11.28,11.28,10.3345,0
IE00B5VT5X83,2005-09-27T00:00:00,10.572,10.66,10.7,10.2,0
IE00B5VT5X83,2005-09-28T00:00:00,10.25,10.5,10.67,10.07,0
IE00B5VT5X83,2005-09-29T00:00:00,10.69,10.46,10.8,10.15,0
IE00B5VT5X83,2005-09-30T00:00:00,10.24,10.7,10.7,10.2,0
IE00B5VT5X83,2005-10-03T00:00:00,10.23,10.24,10.49,10.1,0
IE00B5VT5X83,2005-10-04T00:00:00,10.2,10.2,10.5,10.15,0
IE00B5VT5X83,2005-10-05T00:00:00,9.81,10.1,10.3799,9.5,0
IE00B5VT5X83,2005-10-06T00:00:00,9.72,10.09,10.5,9.45,0
IE00B5VT5X83,2005-10-07T00:00:00,10.11,9.61,10.3,9.61,0
IE00B5VT5X83,2005-10-10T00:00:00,10.0,9.95,10.32,9.8,0
IE00B5VT5X83,2005-10-11T00:00:00,10.2,10.03,10.43,10.0,0
IE00B5VT5X83,2005-10-12T00:00:00,10.2,10.2,10.25,10.15,0
IE00B5VT5X83,2005-10-13T00:00:00,10.1,10.15,10.2,9.95,0
IE00B5VT5X83,2005-10-14T00:00:00,9.98,9.96,10.25,9.8,0
IE00B5VT5X83,2005-10-17T00:00:00,9.7,9.8,9.91,9.6285,0
IE00B5VT5X83,2005-10-18T00:00:00,9.83,9.88,10.09,9.8,0
IE00B5VT5X83,2005-10-19T00:00:00,9.81,9.83,10.0,9.5,0
IE00B5VT5X83,2005-10-20T00:00:00,9.91,9.97,9.97,9.9,0
IE00B5VT5X83,2005-10-21T00:00:00,9.88,10.18,10.18,9.56,0
IE00B5VT5X83,2005-10-24T00:00:00,10.05,10.18,10.18,9.98,0
IE00B5VT5X83,2005-10-25T00:00:00,9.86,10.05,10.15,9.8,0
IE00B5VT5X83,2005-10-26T00:00:00,10.49,9.66,10.78,9.66,0
IE00B5VT5X83,2005-10-27T00:00:00,10.39,10.74,10.98,10.35,0
IE00B5VT5X83,2005-10-28T00:00:00,10.21,10.2,10.52,10.1,0
IE00B5VT5X83,2005-10-31T00:00:00,10.3,10.1,10.399,10.1,0
IE00B5VT5X83,2005-11-01T00:00:00,10.37,10.58,10.98,10.13,0
IE00B5VT5X83,2005-11-02T00:00:00,10.43,10.98,10.98,10.36,0
IE00B5VT5X83,2005-11-03T00:00:00,10.27,10.86,10.86,10.27,0
IE00B5VT5X83,2005-11-04T00:00:00,9.93,10.25,10.28,9.88,0
IE00B5VT5X83,2005-11-07T00:00:00,9.67,9.8,9.93,9.5,0
IE00B5VT5X83,2005-11-08T00:00:00,9.45,9.59,9.98,9.1,0
IE00B5VT5X83,2005-11-09T00:00:00,9.31,9.7,10.0,9.15,0
IE00B5VT5X83,2005-11-10T00:00:00,8.33,8.35,9.0,6.25,0
IE00B5VT5X83,2005-11-11T00:00:00,8.08,8.45,8.69,8.01,0
IE00B5VT5X83,2005-11-14T00:00:00,7.89,8.0,8.0,7.76,0
IE00B5VT5X83,2005-11-15T00:00:00,7.85,8.15,8.2,7.75,0
IE00B5VT5X83,2005-11-16T00:00:00,7.69,8.01,8.089,7.58,0
IE00B5VT5X83,2005-11-17T00:00:00,7.3,7.63,7.69,7.17,0
IE00B5VT5X83,2005-11-18T00:00:00,7.22,7.11,7.75,6.81,0
IE00B5VT5X83,2005-11-21T00:00:00,7.66,7.44,7.6955,7.27,0
IE00B5VT5X83,2005-11-22T00:00:00,8.13,7.75,8.23,7.7,0
IE00B5VT5X83,2005-11-23T00:00:00,8.0,8.15,8.21,7.85,0
IE00B5VT5X83,2005-11-25T00:00:00,8.0,8.03,8.03,7.9401,0
IE00B5VT5X83,2005-11-28T00:00:00,7.929,8.15,8.1999,7.85,0
IE00B5VT5X83,2005-11-29T00:00:00,7.8,7.81,8.0,7.8,0
IE00B5VT5X83,2005-11-30T00:00:00,7.71,7.8,7.9,7.71,0
IE00B5VT5X83,2005-12-01T00:00:00,7.6,7.7,7.95,7.5,0
IE00B5VT5X83,2005-12-02T00:00:00,7.24,7.6,7.6,7.23,0
IE00B5VT5X83,2005-12-05T00:00:00,7.1,7.42,7.4699,7.04,0
IE00B5VT5X83,2005-12-06T00:00:00,6.99,7.03,7.12,6.99,0
IE00B5VT5X83,2005-12-07T00:00:00,6.6,7.05,7.05,6.6,0
IE00B5VT5X83,2005-12-08T00:00:00,6.65,6.7,6.84,6.56,0
IE00B5VT5X83,2005-12-09T00:00:00,6.45,6.63,6.86,6.32,0
IE00B5VT5X83,2005-12-12T00:00:00,6.05,6.38,6.7,6.05,0
IE00B5VT5X83,2005-12-13T00:00:00,5.95,5.98,6.2,5.82,0
IE00B5VT5X83,2005-12-14T00:00:00,6.17,5.95,6.55,5.9205,0
IE00B5VT5X83,2005-12-15T00:00:00,6.81,6.2,7.0,6.15,0
IE00B5VT5X83,2005-12-16T00:00:00,7.38,6.95,7.5,6.9,0
IE00B5VT5X83,2005-12-19T00:00:00,7.439,7.45,7.62,7.0,0
IE00B5VT5X83,2005-12-20T00:00:00,7.36,7.44,7.55,7.08,0
IE00B5VT5X83,2005-12-21T00:00:00,7.4,7.31,7.65,7.097,0
IE00B5VT5X83,2005-12-22T00:00:00,7.3,7.4,7.7,7.12,0
IE00B5VT5X83,2005-12-23T00:00:00,6.67,7.3,7.49,6.46,0
IE00B5VT5X83,2005-12-27T00:00:00,6.46,6.64,6.85,6.28,0
IE00B5VT5X83,2005-12-28T00:00:00,6.5,6.46,6.85,6.31,0
IE00B5VT5X83,2005-12-29T00:00:00,6.52,6.31,6.54,6.26,0
IE00B5VT5X83,2005-12-30T00:00:00,6.64,6.55,6.87,6.3,0
IE00B5VT5X83,2006-01-03T00:00:00,7.28,6.8,7.28,6.66,0
IE00B5VT5X83,2006-01-04T00:00:00,7.29,7.33,7.38,7.02,0
IE00B5VT5X83,2006-01-05T00:00:00,7.21,7.25,7.31,6.9,0
IE00B5VT5X83,2006-01-06T00:00:00,6.97,7.23,7.23,6.9,0
IE00B5VT5X83,2006-01-09T00:00:00,7.09,6.9,7.18,6.9,0
IE00B5VT5X83,2006-01-10T00:00:00,6.93,7.09,7.09,6.9,0
IE00B5VT5X83,2006-01-11T00:00:00,7.04,7.03,7.06,6.99,0
IE00B5VT5X83,2006-01-12T00:00:00,6.82,6.89,7.079,6.75,0
IE00B5VT5X83,2006-01-13T00:00:00,6.8,6.8,7.07,6.65,0
IE00B5VT5X83,2006-01-17T00:00:00,6.49,7.01,7.01,6.47,0
IE00B5VT5X83,2006-01-18T00:00:00,6.3,6.51,6.51,6.29,0
IE00B5VT5X83,2006-01-19T00:00:00,6.31,6.34,6.5,6.31,0
IE00B5VT5X83,2006-01-20T00:00:00,6.26,6.35,6.5,6.25,0
IE00B5VT5X83,2006-01-23T00:00:00,6.1699,6.26,6.31,6.1,0
IE00B5VT5X83,2006-01-24T00:00:00,6.18,6.19,6.28,6.1,0
IE00B5VT5X83,2006-01-25T00:00:00,6.05,6.27,6.27,5.9,0
