instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
GB00BJVJZD68,1980-03-17T00:00:00,112.0,16.0,118.0,112.0,0
GB00BJVJZD68,1980-03-18T00:00:00,118.0,14.0,124.0,118.0,0
GB00BJVJZD68,1980-03-19T00:00:00,116.0,13.0,122.0,116.0,0
GB00BJVJZD68,1980-03-20T00:00:00,114.0,14.0,120.0,114.0,0
GB00BJVJZD68,1980-03-21T00:00:00,114.0,15.0,120.0,114.0,0
GB00BJVJZD68,1980-03-24T00:00:00,106.0,15.0,112.0,106.0,0
GB00BJVJZD68,1980-03-25T00:00:00,108.0,15.0,114.0,108.0,0
GB00BJVJZD68,1980-03-26T00:00:00,110.0,14.0,116.0,110.0,0
GB00BJVJZD68,1980-03-27T00:00:00,106.0,14.0,112.0,106.0,0
GB00BJVJZD68,1980-03-28T00:00:00,110.0,13.0,116.0,110.0,0
GB00BJVJZD68,1980-03-31T00:00:00,110.0,13.0,116.0,110.0,0
GB00BJVJZD68,1980-04-01T00:00:00,110.0,14.0,116.0,110.0,0
GB00BJVJZD68,1980-04-02T00:00:00,116.0,13.0,122.0,116.0,0
GB00BJVJZD68,1980-04-03T00:00:00,114.0,13.0,120.0,114.0,0
GB00BJVJZD68,1980-04-07T00:00:00,112.0,13.0,118.0,112.0,0
GB00BJVJZD68,1980-04-08T00:00:00,112.0,12.0,118.0,112.0,0
GB00BJVJZD68,1980-04-09T00:00:00,114.0,12.0,120.0,114.0,0
GB00BJVJZD68,1980-04-10T00:00:00,114.0,11.0,120.0,114.0,0
GB00BJVJZD68,1980-04-11T00:00:00,112.0,12.0,118.0,112.0,0
GB00BJVJZD68,1980-04-14T00:00:00,110.0,12.0,116.0,110.0,0
GB00BJVJZD68,1980-04-15T00:00:00,106.0,12.0,112.0,106.0,0
GB00BJVJZD68,1980-04-16T00:00:00,104.0,12.0,110.0,104.0,0
GB00BJVJZD68,1980-04-17T00:00:00,102.0,12.0,108.0,102.0,0
GB00BJVJZD68,1980-04-18T00:00:00,102.0,13.0,108.0,102.0,0
GB00BJVJZD68,1980-04-21T00:00:00,102.0,13.0,108.0,102.0,0
GB00BJVJZD68,1980-04-22T00:00:00,108.0,12.0,114.0,108.0,0
GB00BJVJZD68,1980-04-23T00:00:00,106.0,13.0,112.0,106.0,0
GB00BJVJZD68,1980-04-24T00:00:00,110.0,12.0,116.0,110.0,0
GB00BJVJZD68,1980-04-25T00:00:00,108.0,12.0,114.0,108.0,0
GB00BJVJZD68,1980-04-28T00:00:00,108.0,12.0,114.0,108.0,0
GB00BJVJZD68,1980-04-29T00:00:00,108.0,13.0,114.0,108.0,0
GB00BJVJZD68,1980-04-30T00:00:00,108.0,13.0,114.0,108.0,0
GB00BJVJZD68,1980-05-01T00:00:00,106.0,12.0,112.0,106.0,0
GB00BJVJZD68,1980-05-02T00:00:00,104.0,12.0,110.0,104.0,0
GB00BJVJZD68,1980-05-05T00:00:00,106.0,12.0,112.0,106.0,0
GB00BJVJZD68,1980-05-06T00:00:00,106.0,11.0,112.0,106.0,0
GB00BJVJZD68,1980-05-07T00:00:00,112.0,11.0,118.0,112.0,0
GB00BJVJZD68,1980-05-08T00:00:00,110.0,11.0,116.0,110.0,0
GB00BJVJZD68,1980-05-09T00:00:00,112.0,12.0,118.0,112.0,0
GB00BJVJZD68,1980-05-12T00:00:00,114.0,13.0,120.0,114.0,0
GB00BJVJZD68,1980-05-13T00:00:00,116.0,11.0,122.0,116.0,0
GB00BJVJZD68,1980-05-14T00:00:00,122.0,11.0,128.0,122.0,0
GB00BJVJZD68,1980-05-15T00:00:00,126.0,12.0,132.0,126.0,0
GB00BJVJZD68,1980-05-16T00:00:00,130.0,11.0,136.0,130.0,0
GB00BJVJZD68,1980-05-19T00:00:00,130.0,11.0,136.0,130.0,0
GB00BJVJZD68,1980-05-20T00:00:00,126.0,13.0,132.0,126.0,0
GB00BJVJZD68,1980-05-21T00:00:00,126.0,12.0,132.0,126.0,0
GB00BJVJZD68,1980-05-22T00:00:00,126.0,13.0,132.0,126.0,0
GB00BJVJZD68,1980-05-23T00:00:00,126.0,13.0,132.0,126.0,0
GB00BJVJZD68,1980-05-27T00:00:00,122.0,16.0,128.0,122.0,0
GB00BJVJZD68,1980-05-28T00:00:00,120.0,14.0,126.0,120.0,0
GB00BJVJZD68,1980-05-29T00:00:00,122.0,16.0,128.0,122.0,0
GB00BJVJZD68,1980-05-30T00:00:00,122.0,16.0,128.0,122.0,0
GB00BJVJZD68,1980-06-02T00:00:00,124.0,15.0,130.0,124.0,0
GB00BJVJZD68,1980-06-03T00:00:00,130.0,14.0,136.0,130.0,0
GB00BJVJZD68,1980-06-04T00:00:00,136.0,15.0,142.0,136.0,0
GB00BJVJZD68,1980-06-05T00:00:00,136.0,14.0,142.0,136.0,0
GB00BJVJZD68,1980-06-06T00:00:00,138.0,15.0,144.0,138.0,0
GB00BJVJZD68,1980-06-09T00:00:00,140.0,15.0,146.0,140.0,0
GB00BJVJZD68,1980-06-10T00:00:00,144.0,14.0,150.0,144.0,0
