instrument,TR.PriceCloseDate,TR.PriceClose,TR.PriceOpen,TR.PriceHigh,TR.PriceLow,TR.Volume
MHY2685T1073,2008-06-27T00:00:00,40.04,40.04,40.04,40.04,0
MHY2685T1073,2008-06-30T00:00:00,39.81,39.81,39.81,39.81,0
MHY2685T1073,2008-07-01T00:00:00,40.61,40.61,40.61,40.61,0
MHY2685T1073,2008-07-02T00:00:00,40.76,40.76,40.76,40.76,0
MHY2685T1073,2008-07-03T00:00:00,36.74,36.74,36.74,36.74,0
MHY2685T1073,2008-07-04T00:00:00,36.16,36.16,36.16,36.16,0
MHY2685T1073,2008-07-07T00:00:00,36.35,36.35,36.35,36.35,0
MHY2685T1073,2008-07-08T00:00:00,37.0,37.0,37.0,37.0,0
MHY2685T1073,2008-07-09T00:00:00,39.89,39.89,39.89,39.89,0
MHY2685T1073,2008-07-10T00:00:00,39.16,39.16,39.16,39.16,0
MHY2685T1073,2008-07-11T00:00:00,39.3,39.3,39.3,39.3,0
MHY2685T1073,2008-07-14T00:00:00,38.77,38.77,38.77,38.77,0
MHY2685T1073,2008-07-15T00:00:00,38.84,38.84,38.84,38.84,0
MHY2685T1073,2008-07-16T00:00:00,39.16,39.16,39.16,39.16,0
MHY2685T1073,2008-07-17T00:00:00,39.83,39.83,39.83,39.83,0
MHY2685T1073,2008-07-18T00:00:00,40.3,40.3,40.3,40.3,0
MHY2685T1073,2008-07-21T00:00:00,40.02,40.02,40.02,40.02,0
MHY2685T1073,2008-07-22T00:00:00,41.01,41.01,41.01,41.01,0
MHY2685T1073,2008-07-23T00:00:00,41.06,41.06,41.06,41.06,0
MHY2685T1073,2008-07-24T00:00:00,42.41,42.41,42.41,42.41,0
MHY2685T1073,2008-07-25T00:00:00,39.09,39.09,39.09,39.09,0
MHY2685T1073,2008-07-28T00:00:00,39.14,39.14,39.14,39.14,0
MHY2685T1073,2008-07-29T00:00:00,39.23,37.89,39.23,37.89,0
MHY2685T1073,2008-07-30T00:00:00,39.92,39.92,39.92,39.92,0
MHY2685T1073,2008-07-31T00:00:00,41.77,41.77,41.77,41.77,0
MHY2685T1073,2008-08-01T00:00:00,43.03,43.03,43.03,43.03,0
MHY2685T1073,2008-08-04T00:00:00,41.49,41.49,41.49,41.49,0
MHY2685T1073,2008-08-05T00:00:00,37.58,37.27,37.58,37.27,0
MHY2685T1073,2008-08-06T00:00:00,38.05,36.41,38.05,36.41,0
MHY2685T1073,2008-08-07T00:00:00,37.2,37.2,37.2,37.2,0
MHY2685T1073,2008-08-08T00:00:00,34.25,34.25,34.25,34.25,0
MHY2685T1073,2008-08-11T00:00:00,36.79,35.92,36.79,35.92,0
MHY2685T1073,2008-08-12T00:00:00,36.29,36.32,36.32,36.29,0
MHY2685T1073,2008-08-13T00:00:00,36.48,36.48,36.48,36.48,0
MHY2685T1073,2008-08-14T00:00:00,39.32,39.32,39.32,39.32,0
MHY2685T1073,2008-08-15T00:00:00,41.89,41.89,41.89,41.89,0
MHY2685T1073,2008-08-18T00:00:00,41.56,41.56,41.56,41.56,0
MHY2685T1073,2008-08-19T00:00:00,41.2,41.2,41.2,41.2,0
MHY2685T1073,2008-08-20T00:00:00,39.28,39.28,39.28,39.28,0
MHY2685T1073,2008-08-21T00:00:00,39.24,39.24,39.24,39.24,0
MHY2685T1073,2008-08-22T00:00:00,40.71,40.71,40.71,40.71,0
MHY2685T1073,2008-08-25T00:00:00,40.17,40.19,40.19,40.17,0
MHY2685T1073,2008-08-26T00:00:00,41.63,41.63,41.63,41.63,0
MHY2685T1073,2008-08-27T00:00:00,42.14,42.14,42.14,42.14,0
MHY2685T1073,2008-08-28T00:00:00,42.34,42.34,42.34,42.34,0
MHY2685T1073,2008-08-29T00:00:00,42.86,42.86,42.86,42.86,0
MHY2685T1073,2008-09-01T00:00:00,42.34,42.34,42.34,42.34,0
MHY2685T1073,2008-09-02T00:00:00,42.58,42.58,42.58,42.58,0
MHY2685T1073,2008-09-03T00:00:00,36.78,39.53,40.6,36.78,0
MHY2685T1073,2008-09-04T00:00:00,36.17,36.17,36.17,36.17,0
MHY2685T1073,2008-09-05T00:00:00,35.23,35.23,35.23,35.23,0
MHY2685T1073,2008-09-08T00:00:00,34.09,33.07,34.09,33.07,0
MHY2685T1073,2008-09-09T00:00:00,32.54,32.54,32.54,32.54,0
MHY2685T1073,2008-09-10T00:00:00,28.82,28.82,28.82,28.82,0
MHY2685T1073,2008-09-11T00:00:00,30.68,30.68,30.68,30.68,0
MHY2685T1073,2008-09-12T00:00:00,32.44,32.44,32.44,32.44,0
